sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Frequencies,2,81501,PSGRTYPE,2,Bachelor's degree seeking 2016 cohort - four-year institutions,2022,24.24
Frequencies,3,81501,PSGRTYPE,3,Other degree/certificate seeking 2016 cohort - four-year institutions,945,11.33
Frequencies,4,81501,PSGRTYPE,4,Degree/certificate seeking 2019 cohort (less than four-year institutions),3087,37.01
Frequencies,5,,,,,,
Frequencies,6,,,,,,
Frequencies,7,,,,,,
Frequencies,8,,,,,,
Frequencies,9,,,,,,
Frequencies,10,,,,,,
Frequencies,11,,,,,,
Frequencies,12,,,,,,
Frequencies,13,,,,,,
Frequencies,14,,,,,,
Frequencies,15,,,,,,
Frequencies,16,,,,,,
Frequencies,17,,,,,,
Frequencies,18,,,,,,
Frequencies,19,,,,,,
Frequencies,20,,,,,,
Frequencies,21,,,,,,
Frequencies,22,,,,,,
Frequencies,23,,,,,,
Frequencies,24,,,,,,
Frequencies,25,,,,,,
Frequencies,26,,,,,,
Frequencies,27,,,,,,
Frequencies,28,,,,,,
Frequencies,29,,,,,,
Frequencies,30,,,,,,
Frequencies,31,,,,,,
Frequencies,32,,,,,,
Frequencies,33,,,,,,
Frequencies,34,,,,,,
Frequencies,35,,,,,,
Frequencies,36,,,,,,
Frequencies,37,,,,,,
Frequencies,38,,,,,,
Frequencies,39,,,,,,
Frequencies,40,,,,,,
Frequencies,41,,,,,,
Frequencies,42,,,,,,
Frequencies,43,,,,,,
Frequencies,44,,,,,,
Frequencies,45,,,,,,
Frequencies,46,,,,,,
Frequencies,47,,,,,,
Frequencies,48,,,,,,
Frequencies,49,,,,,,
Frequencies,50,,,,,,
Frequencies,51,,,,,,
Frequencies,52,,,,,,
Frequencies,53,,,,,,
Frequencies,54,,,,,,
Frequencies,55,,,,,,
Frequencies,56,,,,,,
Frequencies,57,,,,,,
Frequencies,58,,,,,,
Frequencies,59,,,,,,
Frequencies,60,,,,,,
Frequencies,61,,,,,,
Frequencies,62,,,,,,
Frequencies,63,,,,,,
Frequencies,64,,,,,,
Frequencies,65,,,,,,
Frequencies,66,,,,,,
Frequencies,67,,,,,,
Frequencies,68,,,,,,
Frequencies,69,,,,,,
Frequencies,70,,,,,,
Frequencies,71,,,,,,
Frequencies,72,,,,,,
Frequencies,73,,,,,,
Frequencies,74,,,,,,
Frequencies,75,,,,,,
Frequencies,76,,,,,,
Frequencies,77,,,,,,
Frequencies,78,,,,,,
Frequencies,79,,,,,,
Frequencies,80,,,,,,
Frequencies,81,,,,,,
Frequencies,82,,,,,,
Frequencies,83,,,,,,
Frequencies,84,,,,,,
Frequencies,85,,,,,,
Frequencies,86,,,,,,
Frequencies,87,,,,,,
Frequencies,88,,,,,,
Frequencies,89,,,,,,
Frequencies,90,,,,,,
Frequencies,91,,,,,,
Frequencies,92,,,,,,
Frequencies,93,,,,,,
Frequencies,94,,,,,,
Frequencies,95,,,,,,
Frequencies,96,,,,,,
Frequencies,97,,,,,,
Frequencies,98,,,,,,
Frequencies,99,,,,,,
Frequencies,100,,,,,,
Frequencies,101,,,,,,
Frequencies,102,,,,,,
Frequencies,103,,,,,,
Frequencies,104,,,,,,
Frequencies,105,,,,,,
Frequencies,106,,,,,,
Frequencies,107,,,,,,
Frequencies,108,,,,,,
Frequencies,109,,,,,,
Frequencies,110,,,,,,
Frequencies,111,,,,,,
