sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Frequencies,1177,,,,,,
Frequencies,1178,,,,,,
Frequencies,1179,,,,,,
Frequencies,1180,,,,,,
Frequencies,1181,,,,,,
Frequencies,1182,,,,,,
Frequencies,1183,,,,,,
Frequencies,1184,,,,,,
Frequencies,1185,,,,,,
Frequencies,1186,,,,,,
Frequencies,1187,,,,,,
Frequencies,1188,,,,,,
Frequencies,1189,,,,,,
Frequencies,1190,,,,,,
Frequencies,1191,,,,,,
Frequencies,1192,,,,,,
Frequencies,1193,,,,,,
Frequencies,1194,,,,,,
Frequencies,1195,,,,,,
Frequencies,1196,,,,,,
Frequencies,1197,,,,,,
Frequencies,1198,,,,,,
Frequencies,1199,,,,,,
Frequencies,1200,,,,,,
Frequencies,1201,,,,,,
Frequencies,1202,,,,,,
Frequencies,1203,,,,,,
Frequencies,1204,,,,,,
Frequencies,1205,,,,,,
Frequencies,1206,,,,,,
Frequencies,1207,,,,,,
Frequencies,1208,,,,,,
Frequencies,1209,,,,,,
Frequencies,1210,,,,,,
Frequencies,1211,,,,,,
Frequencies,1212,,,,,,
Frequencies,1213,,,,,,
Frequencies,1214,,,,,,
Frequencies,1215,,,,,,
Frequencies,1216,,,,,,
Frequencies,1217,,,,,,
Frequencies,1218,,,,,,
Frequencies,1219,,,,,,
Frequencies,1220,,,,,,
Frequencies,1221,,,,,,
Frequencies,1222,,,,,,
Frequencies,1223,,,,,,
Frequencies,1224,,,,,,
Frequencies,1225,,,,,,
Frequencies,1226,,,,,,
Frequencies,1227,,,,,,
Frequencies,1228,,,,,,
Frequencies,1229,,,,,,
Frequencies,1230,,,,,,
Frequencies,1231,,,,,,
Frequencies,1232,,,,,,
Frequencies,1233,,,,,,
Frequencies,1234,,,,,,
Frequencies,1235,,,,,,
Frequencies,1236,,,,,,
Frequencies,1237,,,,,,
Frequencies,1238,,,,,,
Frequencies,1239,,,,,,
Frequencies,1240,,,,,,
Frequencies,1241,,,,,,
Frequencies,1242,,,,,,
Frequencies,1243,,,,,,
Frequencies,1244,,,,,,
Frequencies,1245,,,,,,
Frequencies,1246,,,,,,
Frequencies,1247,,,,,,
Frequencies,1248,,,,,,
Frequencies,1249,,,,,,
Frequencies,1250,,,,,,
Frequencies,1251,,,,,,
Frequencies,1252,,,,,,
Frequencies,1253,,,,,,
Frequencies,1254,,,,,,
Frequencies,1255,,,,,,
Frequencies,1256,,,,,,
Frequencies,1257,,,,,,
Frequencies,1258,,,,,,
Frequencies,1259,,,,,,
Frequencies,1260,,,,,,
Frequencies,1261,,,,,,
Frequencies,1262,,,,,,
Frequencies,1263,,,,,,
Frequencies,1264,,,,,,
Frequencies,1265,,,,,,
Frequencies,1266,,,,,,
Frequencies,1267,,,,,,
Frequencies,1268,,,,,,
Frequencies,1269,,,,,,
Frequencies,1270,,,,,,
Frequencies,1271,,,,,,
Frequencies,1272,,,,,,
Frequencies,1273,,,,,,
Frequencies,1274,,,,,,
Frequencies,1275,,,,,,
Frequencies,1276,,,,,,
Frequencies,1277,,,,,,
Frequencies,1278,,,,,,
Frequencies,1279,,,,,,
Frequencies,1280,,,,,,
Frequencies,1281,,,,,,
Frequencies,1282,,,,,,
Frequencies,1283,,,,,,
Frequencies,1284,,,,,,
Frequencies,1285,,,,,,
Frequencies,1286,,,,,,
Frequencies,1287,,,,,,
Frequencies,1288,,,,,,
Frequencies,1289,,,,,,
Frequencies,1290,,,,,,
Frequencies,1291,,,,,,
Frequencies,1292,,,,,,
Frequencies,1293,,,,,,
Frequencies,1294,,,,,,
Frequencies,1295,,,,,,
Frequencies,1296,,,,,,
Frequencies,1297,,,,,,
Frequencies,1298,,,,,,
Frequencies,1299,,,,,,
Frequencies,1300,,,,,,
Frequencies,1301,,,,,,
Frequencies,1302,,,,,,
Frequencies,1303,,,,,,
Frequencies,1304,,,,,,
Frequencies,1305,,,,,,
Frequencies,1306,,,,,,
Frequencies,1307,,,,,,
Frequencies,1308,,,,,,
Frequencies,1309,,,,,,
Frequencies,1310,,,,,,
Frequencies,1311,,,,,,
Frequencies,1312,,,,,,
Frequencies,1313,,,,,,
Frequencies,1314,,,,,,
Frequencies,1315,,,,,,
Frequencies,1316,,,,,,
Frequencies,1317,,,,,,
Frequencies,1318,,,,,,
Frequencies,1319,,,,,,
Frequencies,1320,,,,,,
Frequencies,1321,,,,,,
Frequencies,1322,,,,,,
Frequencies,1323,,,,,,
Frequencies,1324,,,,,,
Frequencies,1325,,,,,,
Frequencies,1326,,,,,,
Frequencies,1327,,,,,,
Frequencies,1328,,,,,,
Frequencies,1329,,,,,,
Frequencies,1330,,,,,,
Frequencies,1331,,,,,,
Frequencies,1332,,,,,,
Frequencies,1333,,,,,,
Frequencies,1334,,,,,,
Frequencies,1335,,,,,,
Frequencies,1336,,,,,,
Frequencies,1337,,,,,,
Frequencies,1338,,,,,,
Frequencies,1339,,,,,,
Frequencies,1340,,,,,,
Frequencies,1341,,,,,,
Frequencies,1342,,,,,,
Frequencies,1343,,,,,,
Frequencies,1344,,,,,,
Frequencies,1345,,,,,,
Frequencies,1346,,,,,,
Frequencies,1347,,,,,,
Frequencies,1348,,,,,,
Frequencies,1349,,,,,,
Frequencies,1350,,,,,,
Frequencies,1351,,,,,,
Frequencies,1352,,,,,,
Frequencies,1353,,,,,,
Frequencies,1354,,,,,,
Frequencies,1355,,,,,,
Frequencies,1356,,,,,,
Frequencies,1357,,,,,,
Frequencies,1358,,,,,,
Frequencies,1359,,,,,,
Frequencies,1360,,,,,,
Frequencies,1361,,,,,,
Frequencies,1362,,,,,,
Frequencies,1363,,,,,,
Frequencies,1364,,,,,,
Frequencies,1365,,,,,,
Frequencies,1366,,,,,,
Frequencies,1367,,,,,,
Frequencies,1368,,,,,,
Frequencies,1369,,,,,,
Frequencies,1370,,,,,,
Frequencies,1371,,,,,,
Frequencies,1372,,,,,,
Frequencies,1373,,,,,,
Frequencies,1374,,,,,,
Frequencies,1375,,,,,,
Frequencies,1376,,,,,,
Frequencies,1377,,,,,,
Frequencies,1378,,,,,,
Frequencies,1379,,,,,,
Frequencies,1380,,,,,,
Frequencies,1381,,,,,,
Frequencies,1382,,,,,,
Frequencies,1383,,,,,,
Frequencies,1384,,,,,,
Frequencies,1385,,,,,,
Frequencies,1386,,,,,,
Frequencies,1387,,,,,,
Frequencies,1388,,,,,,
Frequencies,1389,,,,,,
Frequencies,1390,,,,,,
Frequencies,1391,,,,,,
Frequencies,1392,,,,,,
Frequencies,1393,,,,,,
Frequencies,1394,,,,,,
Frequencies,1395,,,,,,
Frequencies,1396,,,,,,
Frequencies,1397,,,,,,
Frequencies,1398,,,,,,
Frequencies,1399,,,,,,
Frequencies,1400,,,,,,
Frequencies,1401,,,,,,
Frequencies,1402,,,,,,
Frequencies,1403,,,,,,
Frequencies,1404,,,,,,
Frequencies,1405,,,,,,
Frequencies,1406,,,,,,
Frequencies,1407,,,,,,
Frequencies,1408,,,,,,
Frequencies,1409,,,,,,
Frequencies,1410,,,,,,
Frequencies,1411,,,,,,
Frequencies,1412,,,,,,
Frequencies,1413,,,,,,
Frequencies,1414,,,,,,
Frequencies,1415,,,,,,
Frequencies,1416,,,,,,
Frequencies,1417,,,,,,
Frequencies,1418,,,,,,
Frequencies,1419,,,,,,
Frequencies,1420,,,,,,
Frequencies,1421,,,,,,
Frequencies,1422,,,,,,
Frequencies,1423,,,,,,
Frequencies,1424,,,,,,
Frequencies,1425,,,,,,
Frequencies,1426,,,,,,
Frequencies,1427,,,,,,
Frequencies,1428,,,,,,
Frequencies,1429,,,,,,
Frequencies,1430,,,,,,
Frequencies,1431,,,,,,
Frequencies,1432,,,,,,
Frequencies,1433,,,,,,
Frequencies,1434,,,,,,
Frequencies,1435,,,,,,
Frequencies,1436,,,,,,
Frequencies,1437,,,,,,
Frequencies,1438,,,,,,
Statistics,0,varnumber,varname,n,sum,mean,min,max,varTitle
Statistics,1,81506,PGREVCT,8341,1783300,213.79930463973145,0,5277,Pell Grant recipients - revised cohort
Statistics,2,81511,PGEXCLU,8341,3162,0.37909123606282219,0,178,Pell Grant recipients - exclusions
Statistics,3,81516,PGADJCT,8341,1780138,213.42021340366861,0,5277,Pell Grant recipients - adjusted  cohort (revised minus exclusions)
Statistics,4,81521,PGCMBAC,5254,548096,104.3197563760944,0,2275,Pell Grant  recipients - number that completed a bachelor's or equivalent degree within 150% of normal time
Statistics,5,81526,PGCMOBA,5254,86116,16.390559573658166,0,2167,Pell Grant  recipients - number that completed an award of less than 4 academic years or equivalent within 150% of normal time
Statistics,6,81531,PGCMTOT,8341,824813,98.886584342404987,0,2474,Pell Grant  recipients - total number that completed an award  within 150% of normal time
Statistics,7,81536,SSREVCT,8341,664318,79.644886704232107,0,2250,Direct Subsidized Loan recipients not receiving Pell Grants - revised cohort
Statistics,8,81541,SSEXCLU,8341,1145,0.1372737081884666,0,54,Direct Subsidized Loan recipients not receiving Pell Grants - exclusions
Statistics,9,81546,SSADJCT,8341,663173,79.507612996043633,0,2247,Direct Subsidized Loan recipients not receiving Pell Grants - adjusted cohort (revised minus exclusions)
Statistics,10,81551,SSCMBAC,5254,383490,72.99010277883518,0,1895,Direct Subsidized Loan recipients not receiving Pell Grants - number completed a bachelor's or equivalent within 150% of normal time
Statistics,11,81556,SSCMOBA,5254,14290,2.7198325085649029,0,174,Direct Subsidized Loan recipients not receiving Pell Grants - number completed an award of less than 4 academic years within 150% of normal time
Statistics,12,81561,SSCMTOT,8341,420696,50.437117851576552,0,1895,Direct Subsidized Loan recipients not receiving Pell Grants - total number completed an award within 150% of normal time
Statistics,13,81566,NRREVCT,8341,1972387,236.46888862246732,0,6320,Did not receive Pell grant or Direct Subsidized loan - revised cohort
Statistics,14,81571,NREXCLU,8341,7325,0.87819206330176236,0,786,Did not receive Pell grant or Direct Subsidized loan - exclusions
Statistics,15,81576,NRADJCT,8341,1965062,235.59069655916556,0,6275,Did not receive Pell grant or Direct Subsidized loan - adjusted  cohort (revised minus exclusions)
Statistics,16,81581,NRCMBAC,5254,1080310,205.61667301103921,0,5164,Did not receive Pell grant or Direct Subsidized loan - number that completed a bachelor's or equivalent degree within 150% of normal time
Statistics,17,81586,NRCMOBA,5254,65340,12.436239055957365,0,1030,Did not receive Pell grant or Direct Subsidized loan - number that completed an award of less than 4 academic years within 150% of normal time
Statistics,18,81591,NRCMTOT,8341,1265663,151.73995923750149,0,5164,Did not receive Pell grant or Direct Subsidized loan - total number that completed an award  within 150% of normal time
Statistics,19,81596,TTREVCT,8341,4420005,529.91307996643093,1,11435,Total revised cohort
Statistics,20,81601,TTEXCLU,8341,11632,1.3945570075530511,0,965,Total exclusions
Statistics,21,81606,TTADJCT,8341,4408373,528.51852295887784,1,11358,Total adjusted cohort
Statistics,22,81611,TTCMBAC,5254,2011896,382.92653216596881,0,7599,Total number that completed a bachelor's or equivalent degree within 150% of normal time
Statistics,23,81616,TTCMOBA,5254,165746,31.546631138180434,0,3229,Total number that completed an award of less than 4 academic years within 150% of normal time
Statistics,24,81621,TTCMTOT,8341,2511172,301.06366143148301,0,7599,Total number that completed an award  within 150% of normal time
Statistics,25,,,,,,,
Statistics,26,,,,,,,
Statistics,27,,,,,,,
Statistics,28,,,,,,,
Statistics,29,,,,,,,
Statistics,30,,,,,,,
FrequenciesRV,0,varnumber,varname,codevalue,valuelabel,frequency,percent
FrequenciesRV,1,81501,PSGRTYPE,1,Total 2016 cohort (Bachelor's and other degree/certificate seeking) - four-year institutions,2288,27.42
FrequenciesRV,2,81501,PSGRTYPE,2,Bachelor's degree seeking 2016 cohort - four-year institutions,2023,24.24
FrequenciesRV,3,81501,PSGRTYPE,3,Other degree/certificate seeking 2016 cohort - four-year institutions,946,11.34
FrequenciesRV,4,81501,PSGRTYPE,4,Degree/certificate seeking 2019 cohort (less than four-year institutions),3088,37
StatisticsRV,0,varnumber,varname,n,sum,mean,min,max,varTitle
StatisticsRV,1,81506,PGREVCT,8345,1781546,213.48663870581186,0,5277,Pell Grant recipients - revised cohort
StatisticsRV,2,81511,PGEXCLU,8345,3163,0.37902935889754347,0,178,Pell Grant recipients - exclusions
StatisticsRV,3,81516,PGADJCT,8345,1778383,213.10760934691433,0,5277,Pell Grant recipients - adjusted  cohort (revised minus exclusions)
StatisticsRV,4,81521,PGCMBAC,5257,547556,104.15750428000761,0,2275,Pell Grant  recipients - number that completed a bachelor's or equivalent degree within 150% of normal time
StatisticsRV,5,81526,PGCMOBA,5257,85640,16.290660072284574,0,2167,Pell Grant  recipients - number that completed an award of less than 4 academic years or equivalent within 150% of normal time
StatisticsRV,6,81531,PGCMTOT,8345,823299,98.657759137207904,0,2474,Pell Grant  recipients - total number that completed an award  within 150% of normal time
StatisticsRV,7,81536,SSREVCT,8345,663014,79.450449370880762,0,2250,Direct Subsidized Loan recipients not receiving Pell Grants - revised cohort
StatisticsRV,8,81541,SSEXCLU,8345,1141,0.13672857998801677,0,54,Direct Subsidized Loan recipients not receiving Pell Grants - exclusions
StatisticsRV,9,81546,SSADJCT,8345,661873,79.313720790892745,0,2247,Direct Subsidized Loan recipients not receiving Pell Grants - adjusted cohort (revised minus exclusions)
StatisticsRV,10,81551,SSCMBAC,5257,382556,72.770781814723222,0,1895,Direct Subsidized Loan recipients not receiving Pell Grants - number completed a bachelor's or equivalent within 150% of normal time
StatisticsRV,11,81556,SSCMOBA,5257,14240,2.7087692600342401,0,174,Direct Subsidized Loan recipients not receiving Pell Grants - number completed an award of less than 4 academic years within 150% of normal time
StatisticsRV,12,81561,SSCMTOT,8345,419670,50.289994008388256,0,1895,Direct Subsidized Loan recipients not receiving Pell Grants - total number completed an award within 150% of normal time
StatisticsRV,13,81566,NRREVCT,8345,1974529,236.61222288795685,0,6320,Did not receive Pell grant or Direct Subsidized loan - revised cohort
StatisticsRV,14,81571,NREXCLU,8345,7323,0.87753145596165372,0,786,Did not receive Pell grant or Direct Subsidized loan - exclusions
StatisticsRV,15,81576,NRADJCT,8345,1967206,235.7346914319952,0,6275,Did not receive Pell grant or Direct Subsidized loan - adjusted  cohort (revised minus exclusions)
StatisticsRV,16,81581,NRCMBAC,5257,1081450,205.71618793988966,0,5164,Did not receive Pell grant or Direct Subsidized loan - number that completed a bachelor's or equivalent degree within 150% of normal time
StatisticsRV,17,81586,NRCMOBA,5257,65624,12.483165303404984,0,1030,Did not receive Pell grant or Direct Subsidized loan - number that completed an award of less than 4 academic years within 150% of normal time
StatisticsRV,18,81591,NRCMTOT,8345,1267256,151.85811863391251,0,5164,Did not receive Pell grant or Direct Subsidized loan - total number that completed an award  within 150% of normal time
StatisticsRV,19,81596,TTREVCT,8345,4419089,529.54931096464952,1,11435,Total revised cohort
StatisticsRV,20,81601,TTEXCLU,8345,11627,1.3932893948472138,0,965,Total exclusions
StatisticsRV,21,81606,TTADJCT,8345,4407462,528.15602156980231,1,11358,Total adjusted cohort
StatisticsRV,22,81611,TTCMBAC,5257,2011562,382.64447403462049,0,7599,Total number that completed a bachelor's or equivalent degree within 150% of normal time
StatisticsRV,23,81616,TTCMOBA,5257,165504,31.482594635723796,0,3229,Total number that completed an award of less than 4 academic years within 150% of normal time
StatisticsRV,24,81621,TTCMTOT,8345,2510225,300.80587177950866,0,7599,Total number that completed an award  within 150% of normal time
StatisticsRV,25,,,,,,,
StatisticsRV,26,,,,,,,
StatisticsRV,27,,,,,,,
StatisticsRV,28,,,,,,,
StatisticsRV,29,,,,,,,
StatisticsRV,30,,,,,,,
Imputation values,0,Code values for item imputation variables Xvarname,
Imputation values,1,CodeValue,ValueLabel
Imputation values,2,A,Not applicable
Imputation values,3,B,Institution left item blank
Imputation values,4,C,Analyst corrected reported value
Imputation values,5,D,Do not know
Imputation values,6,G,Data generated from other data values
Imputation values,7,H,Value not derived - data not usable
Imputation values,8,J,Logical imputation
Imputation values,9,K,Ratio adjustment 
Imputation values,10,L,Imputed using the Group Median procedure
Imputation values,11,N,Imputed using Nearest Neighbor procedure
Imputation values,12,P,Imputed using Carry Forward procedure
Imputation values,13,R,Reported
Imputation values,14,Z,Implied zero;
