Description,2,160100,LCOLELYN,"Institution selects  """"Yes"""" if  library collection is comprised entirely of digital/electronic items and selects """"No"""" if  library collection is comprised of both physical and digital/electronic items. 

Library collections comprise of documents held locally and remote resources for which permanentor temporary access rights have been acquired.  Access rights may be acquired by the library itself, by a consortium and/or through external funding.  Acquisition is to be understood as securing rights and including it on the OPAC (online public access catalog) or other databases of the library."
Description,3,160105,LPBOOKS,"The number of volumes held in the library collection. Volume is a single physical unit of any printed, typewritten, handwritten, mimeographed, or processed work, distinguished from other units by a separate binding, encasement, portfolio, or other clear distinction, which has been cataloged, classified, and made ready for use, and which is typically the unit used to charge circulation transactions."
Description,4,160110,LEBOOKS,"The number of digital/electronic book units held locally and remote units for which permanent or temporary access rights have been acquired. E-books that are available as part of a database are excluded. E-books are digital documents (including those digitized by the library), licensed or not, where searchable text is prevalent, and which can be seen in analogy to a printed book (monograph). Include non-serial government documents."
Description,5,160115,LEDATAB,"The number of licensed digital/electronic databases in the library collection. A database is collection of electronically stored data or unit records (facts, bibliographic data, and texts) with a common user interface and software for the retrieval and manipulation of the data. The data or records are usually collected with a particular intent and relate to a defined topic."
Description,6,160120,LPMEDIA,"The number of units of media materials  that are displayed by visual projection or magnification, or through sound reproduction, or both, including sound recordings, motion pictures and video recordings, and graphic materials. Microforms are excluded. Prior to fiscal year 2014, media materials were not categorized as physical or digital materials separately."
Description,7,160125,LEMEDIA,"The number of units of downloadable media materials featuring video, graphics, or sound, including streaming media and graphic materials that the library has selected as part of its collection. Image databases (ARTStor, AP Photo Archives) are excluded."
Description,8,160300,LPSERIA,"The number of physical serial titles that are accessible through the library’s catalog or discovery system. A serial is a publication in any medium issued in successive parts bearing numerical or chronological designations and intended to be continued indefinitely. This includes, in any physical format, periodicals, newspapers, and annuals (reports, yearbooks, etc.); the journals, memoirs, proceedings, transactions, etc. of societies; and numbered monographic series. Included are only serial titles, not subscriptions."
Description,9,160305,LESERIA,"The number of e-serial titles that are accessible through the library’s catalog or discovery system. An e-serial is a periodical publication that is published in digital form to be displayed on a computer screen. Included are open access (OA) titles if the individual titles are searchable through the library’s catalog or discovery system, except for e-serial titles from HathiTrust, Center for Research Lirbraries, Internet Archive, and similar collections unless the library owns the digitized item and it is accessible under current copyright law."
Description,10,160130,LPCLLCT,"This calculated value is the sum of the number of physical books, media and serials.  Serials were not included prior to 2018"
Description,11,160135,LECLLCT,"This calculated value is the sum of the number of digital/electronic books, databases,  media and e-serials).   E-serials were not included prior to 2018."
Description,12,160136,LTCLLCT,"This calculated value is the sum of the number of  physical books, media, and serials and the number of digital/electronic books, databases, media and serials.  Serials were not included prior to 2018"
Description,13,160140,LPCRCLT,The number of times physical books and media are checked out from the general and reserve collections. Includes initial transactions and renewals.
Description,14,160145,LECRCLT,"The number of times digital/electronic book and media units are ""checked out"" from the general and reserve collections. Includes intitial transactions and renewals."
Description,15,160146,LTCRCLT,"This calculated value is the sum of total physical library circulations (books,  media, serials) and the total digital/electronic circulations (books , databaes, media, serials).   Serials were not included prior to 2018"
Description,16,160310,LILLDYN,"Interlibrary loan is the process by which a library requests material from, or supplies material to, another library"" where ""'material' includes books, audiovisual materials, and other returnable items as well as copies of journal articles, book chapters, excerpts, and other non-returnable items."
Description,17,160210,LILLDPR,The number of filled requests for material provided to other libraries. Include all returnable and non-returnable interlibrary loans and documents.
Description,18,160215,LILLDRC,The number of filled requests for material received from other libraries. Include all returnable and non-returnable interlibrary loans and documents received from commercial services.
Description,19,160150,LBRANCH,"The total number of branch or independent libraries at the institution. Branch and independent libraries are defined as auxiliary library service outlets with quarters separate from the central library of an institution, which have a basic collection of books and other materials, a regular staffing level, and an established schedule. Include virtual/digital-based branch and independent libraries."
Description,20,160155,LSALWAG,"Total salaries and wages expenditures for all full-time and part-time staff, student assistants, and Work-Study students, if paid from the library budget."
Description,21,160160,LFRNGBYN,"The institution selects Yes or No, if they paid fringe benefits from the library budget. Fringe benefits are cash contributions in the form of supplementary or deferred compensation other than salary. Employee fringe benefits include retirement plans, social security taxes, medical/dental plans, unemployment compensation plans, group life insurance plans, worker's compensation plans, and other benefits in-kind with cash options."
Description,22,160165,LFRNGBN,"Total fringe benefits expenditures if paid from the library budget. Fringe benefits are cash contributions in the form of supplementary or deferred compensation other than salary. Employee fringe benefits include retirement plans, social security taxes, medical/dental plans, unemployment compensation plans, group life insurance plans, worker's compensation plans, and other benefits in-kind with cash options."
Description,23,160170,LEXMSBB,"The cost of one-time purchases of books, serial backfiles, and other materials. Includes expenditures for published materials in all formats including archives and special collections, except current subscriptions to serials."
Description,24,160175,LEXMSCS,"The expenditures for ongoing subscriptions to serials in all formats, including duplicates, for all outlets. These are publications issued in successive parts, usually at regular intervals, and, as a rule, intended to be continued indefinitely. Serial subscriptions include periodicals, newspapers, annuals (reports, yearbooks, etc.), memoirs, proceedings, and transactions of societies. Includes the costs of electronic serials bought in aggregations and serial packages."
Description,25,160180,LEXMSOT,This field includes all other materials/services expenditures that are not one-time purchases of materials or ongoing subscriptions. Includes document/interlibrary loan services expenses and other expenditures for information resources.
Description,26,160185,LEXMSTL,"This calculated value is the sum of one-time purchases of books, serial backfiles, and other materials; ongoing commitments to subscriptions; and all other materials/services expenditures."
Description,27,160190,LEXOMPS,"The total expenditures associated with maintaining library and archival materials for use either in their original physical form or in some other usable way. This includes but is not limited to binding and rebinding, materials conservation, de-acidification, lamination, and restoration. Also, include preservation-related contracts for services (e.g. digitization)."
Description,28,160195,LEXOMOT,"This field includes all other operation and maintenance expenditures that are not preservation services. Includes computer hardware, software, and equipment expenses; national, regional, and local bibliographic utilities, networks and consortia fees; and other expenses not reported relating to maintenence."
Description,29,160200,LEXOMTL,This calculated value is the sum of preservation services and all other operation and maintenance expenditures.
Description,30,160205,LEXPTOT,This calculated value is the sum of salaries and wages; fringe benefits; materials/services expenditures; and operations and maintenance expenditures.
Description,31,160206,LSWMSOM,"This calculated value is the sum of salaries and wages; materials/services expenditures; and operations and maintenance expenditures. This variable was not collected or generated inside the IPEDS Data Collection system. It was added after the collection as a new calculated variable that would be consistent with total expenditures from library surveys prior to 2014. Prior to 2014, total expenditures did not include fringe benefits."
Description,32,,,
Description,33,,,
Description,34,,,
Description,35,,,
Description,36,,,
Description,37,,,
Description,38,,,
Description,39,,,
Description,40,,,
Description,41,,,
Description,42,,,
Description,43,,,
Description,44,,,
Description,45,,,
Description,46,,,
Description,47,,,
Description,48,,,
Description,49,,,
Description,50,,,
Description,51,,,
Description,52,,,
Description,53,,,
Description,54,,,
Description,55,,,
Description,56,,,
Description,57,,,
Description,58,,,
Description,59,,,
Description,60,,,
Description,61,,,
Description,62,,,
Description,63,,,
Description,64,,,
Description,65,,,
Description,66,,,
Description,67,,,
Description,68,,,
Description,69,,,
Description,70,,,
Description,71,,,
Description,72,,,
Description,73,,,
Description,74,,,
Description,75,,,
Description,76,,,
Description,77,,,
Description,78,,,
Description,79,,,
Description,80,,,
Description,81,,,
Description,82,,,
Description,83,,,
Description,84,,,
Description,85,,,
Description,86,,,
Description,87,,,
Description,88,,,
Description,89,,,
Description,90,,,
Description,91,,,
Description,92,,,
Description,93,,,
Description,94,,,
Description,95,,,
Description,96,,,
Description,97,,,
Description,98,,,
Description,99,,,
Description,100,,,
Description,101,,,
Description,102,,,
Description,103,,,
Description,104,,,
Description,105,,,
Description,106,,,
Description,107,,,
Description,108,,,
Description,109,,,
Description,110,,,
Description,111,,,
Description,112,,,
Description,113,,,
Description,114,,,
Description,115,,,
Description,116,,,
Description,117,,,
Description,118,,,
Description,119,,,
Description,120,,,
Description,121,,,
Description,122,,,
Description,123,,,
Description,124,,,
Description,125,,,
Description,126,,,
Description,127,,,
Description,128,,,
Description,129,,,
Description,130,,,
Description,131,,,
Description,132,,,
Description,133,,,
Description,134,,,
Description,135,,,
Description,136,,,
Description,137,,,
Description,138,,,
Description,139,,,
Description,140,,,
Description,141,,,
Description,142,,,
Description,143,,,
Description,144,,,
Description,145,,,
Description,146,,,
Description,147,,,
Description,148,,,
Description,149,,,
Description,150,,,
Description,151,,,
Description,152,,,
Description,153,,,
Description,154,,,
Description,155,,,
Description,156,,,
Description,157,,,
Description,158,,,
Description,159,,,
Description,160,,,
Description,161,,,
Description,162,,,
Description,163,,,
Description,164,,,
Description,165,,,
Description,166,,,
Description,167,,,
Description,168,,,
Description,169,,,
Description,170,,,
Description,171,,,
Description,172,,,
Description,173,,,
Description,174,,,
Description,175,,,
Description,176,,,
Description,177,,,
Description,178,,,
Description,179,,,
Description,180,,,
Description,181,,,
Description,182,,,
Description,183,,,
Description,184,,,
Description,185,,,
Description,186,,,
Description,187,,,
Description,188,,,
Description,189,,,
Description,190,,,
Description,191,,,
Description,192,,,
Description,193,,,
Description,194,,,
Description,195,,,
Description,196,,,
Description,197,,,
Description,198,,,
Description,199,,,
Description,200,,,
Description,201,,,
Description,202,,,
Description,203,,,
Description,204,,,
Description,205,,,
Description,206,,,
Description,207,,,
Description,208,,,
Description,209,,,
Description,210,,,
Description,211,,,
Description,212,,,
Description,213,,,
Description,214,,,
Description,215,,,
Description,216,,,
Description,217,,,
Description,218,,,
Description,219,,,
Description,220,,,
Description,221,,,
Description,222,,,
Description,223,,,
Description,224,,,
Description,225,,,
Description,226,,,
Description,227,,,
Description,228,,,
Description,229,,,
Description,230,,,
Description,231,,,
Description,232,,,
Description,233,,,
Description,234,,,
Description,235,,,
Description,236,,,
Description,237,,,
Description,238,,,
Description,239,,,
Description,240,,,
Description,241,,,
Description,242,,,
Description,243,,,
Description,244,,,
Description,245,,,
Description,246,,,
Description,247,,,
Description,248,,,
Description,249,,,
Description,250,,,
Description,251,,,
Description,252,,,
Description,253,,,
Description,254,,,
Description,255,,,
Description,256,,,
Description,257,,,
Description,258,,,
Description,259,,,
Description,260,,,
Description,261,,,
Description,262,,,
Description,263,,,
Description,264,,,
Description,265,,,
Description,266,,,
Description,267,,,
Description,268,,,
Description,269,,,
Description,270,,,
Description,271,,,
Description,272,,,
Description,273,,,
Description,274,,,
Description,275,,,
Description,276,,,
Description,277,,,
Description,278,,,
Description,279,,,
Description,280,,,
Description,281,,,
Description,282,,,
Description,283,,,
Description,284,,,
Description,285,,,
Description,286,,,
Description,287,,,
Description,288,,,
Description,289,,,
Description,290,,,
Description,291,,,
Description,292,,,
Description,293,,,
Description,294,,,
Description,295,,,
Description,296,,,
Description,297,,,
Description,298,,,
Description,299,,,
Description,300,,,
Description,301,,,
Description,302,,,
Description,303,,,
Description,304,,,
Description,305,,,
Description,306,,,
Description,307,,,
Description,308,,,
Description,309,,,
Description,310,,,
Description,311,,,
Description,312,,,
Description,313,,,
Description,314,,,
Description,315,,,
Description,316,,,
Description,317,,,
Description,318,,,
Description,319,,,
Description,320,,,
Description,321,,,
Description,322,,,
Description,323,,,
Description,324,,,
Frequencies,0,varnumber,varname,codevalue,valuelabel,frequency,percent
Frequencies,1,160100,LCOLELYN,1,Yes,137,3.56
Frequencies,2,160100,LCOLELYN,2,No,3712,96.44
Frequencies,3,160310,LILLDYN,1,Yes,3053,79.319999999999979
Frequencies,4,160310,LILLDYN,2,No,796,20.68
Frequencies,5,160160,LFRNGBYN,1,Yes,1981,51.47
Frequencies,6,160160,LFRNGBYN,2,No,921,23.93
Frequencies,7,160160,LFRNGBYN,-2,Not applicable,947,24.6
Frequencies,8,,,,
Frequencies,9
Frequencies,10
Frequencies,11
Frequencies,12
Frequencies,13
Frequencies,14
Frequencies,15
Frequencies,16
Frequencies,17
Frequencies,18
Frequencies,19
Frequencies,20
Frequencies,21
Frequencies,22
Frequencies,23
Frequencies,24
Frequencies,25
Frequencies,26
Frequencies,27
Frequencies,28
Frequencies,29
Frequencies,30
Frequencies,31
Frequencies,32
Frequencies,33
Frequencies,34
Frequencies,35
Frequencies,36
Frequencies,37
Frequencies,38
Frequencies,39
Frequencies,40
Frequencies,41
Frequencies,42
Frequencies,43
Frequencies,44
Frequencies,45
Frequencies,46
Frequencies,47
Frequencies,48
Frequencies,49
Frequencies,50
Frequencies,51
Frequencies,52
Frequencies,53
Frequencies,54
Frequencies,55
Frequencies,56
Frequencies,57,,,,,
Frequencies,58,,,,,
Frequencies,59,,,,,
Frequencies,60,,,,,
Frequencies,61,,,,,
Frequencies,62,,,,,
Frequencies,63,,,,,
Frequencies,64,,,,,
Frequencies,65,,,,,
Frequencies,66,,,,,
Frequencies,67,,,,,
Frequencies,68,,,,,
Frequencies,69,,,,,
Frequencies,70,,,,,
Frequencies,71,,,,,
Frequencies,72,,,,,
Frequencies,73,,,,,
Frequencies,74,,,,,
Frequencies,75,,,,,
Frequencies,76,,,,,
Frequencies,77,,,,,
Frequencies,78,,,,,
Frequencies,79,,,,,
Frequencies,80,,,,,
Frequencies,81,,,,,
Frequencies,82,,,,,
Frequencies,83,,,,,
Frequencies,84,,,,,
Frequencies,85,,,,,
Frequencies,86,,,,,
Frequencies,87,,,,,
Frequencies,88,,,,,
Frequencies,89,,,,,
Frequencies,90,,,,,
Frequencies,91,,,,,
Frequencies,92,,,,,
Frequencies,93,,,,,
Frequencies,94,,,,,
Frequencies,95,,,,,
Frequencies,96,,,,,
Frequencies,97,,,,,
Frequencies,98,,,,,
Frequencies,99,,,,,
Frequencies,100,,,,,
Frequencies,101,,,,,
Frequencies,102,,,,,
Frequencies,103,,,,,
Frequencies,104,,,,,
Frequencies,105,,,,,
Frequencies,106,,,,,
Frequencies,107,,,,,
Frequencies,108,,,,,
Frequencies,109,,,,,
Frequencies,110,,,,,
Frequencies,111,,,,,
Frequencies,112,,,,,
Frequencies,113,,,,,
Frequencies,114,,,,,
Frequencies,115,,,,,
Frequencies,116,,,,,
Frequencies,117,,,,,
Frequencies,118,,,,,
Frequencies,119,,,,,
Frequencies,120,,,,,
Frequencies,121,,,,,
Frequencies,122,,,,,
Frequencies,123,,,,,
Frequencies,124,,,,,
Frequencies,125,,,,,
Frequencies,126,,,,,
Frequencies,127,,,,,
Frequencies,128,,,,,
Frequencies,129,,,,,
Frequencies,130,,,,,
Frequencies,131,,,,,
Frequencies,132,,,,,
Frequencies,133,,,,,
Frequencies,134,,,,,
Frequencies,135,,,,,
Frequencies,136,,,,,
Frequencies,137,,,,,
Frequencies,138,,,,,
Frequencies,139,,,,,
Frequencies,140,,,,,
Frequencies,141,,,,,
Frequencies,142,,,,,
Frequencies,143,,,,,
Frequencies,144,,,,,
Frequencies,145,,,,,
Frequencies,146,,,,,
Frequencies,147,,,,,
Frequencies,148,,,,,
Frequencies,149,,,,,
Frequencies,150,,,,,
Frequencies,151,,,,,
Frequencies,152,,,,,
Frequencies,153,,,,,
Frequencies,154,,,,,
Frequencies,155,,,,,
Frequencies,156,,,,,
Frequencies,157,,,,,
Frequencies,158,,,,,
Frequencies,159,,,,,
Frequencies,160,,,,,
Frequencies,161,,,,,
Frequencies,162,,,,,
Frequencies,163,,,,,
Frequencies,164,,,,,
Frequencies,165,,,,,
Frequencies,166,,,,,
Frequencies,167,,,,,
Frequencies,168,,,,,
Frequencies,169,,,,,
Frequencies,170,,,,,
Frequencies,171,,,,,
Frequencies,172,,,,,
Frequencies,173,,,,,
Frequencies,174,,,,,
Frequencies,175,,,,,
Frequencies,176,,,,,
Frequencies,177,,,,,
Frequencies,178,,,,,
Frequencies,179,,,,,
Frequencies,180,,,,,
Frequencies,181,,,,,
Frequencies,182,,,,,
Frequencies,183,,,,,
Frequencies,184,,,,,
Frequencies,185,,,,,
Frequencies,186,,,,,
Frequencies,187,,,,,
Frequencies,188,,,,,
Frequencies,189,,,,,
Frequencies,190,,,,,
Frequencies,191,,,,,
Frequencies,192,,,,,
Frequencies,193,,,,,
Frequencies,194,,,,,
Frequencies,195,,,,,
Frequencies,196,,,,,
Frequencies,197,,,,,
Frequencies,198,,,,,
Frequencies,199,,,,,
Frequencies,200,,,,,
Frequencies,201,,,,,
Frequencies,202,,,,,
Frequencies,203,,,,,
Frequencies,204,,,,,
Frequencies,205,,,,,
Frequencies,206,,,,,
Frequencies,207,,,,,
Frequencies,208,,,,,
Frequencies,209,,,,,
Frequencies,210,,,,,
Frequencies,211,,,,,
Frequencies,212,,,,,
Frequencies,213,,,,,
Frequencies,214,,,,,
Frequencies,215,,,,,
Frequencies,216,,,,,
Frequencies,217,,,,,
Frequencies,218,,,,,
Frequencies,219,,,,,
Frequencies,220,,,,,
Frequencies,221,,,,,
Frequencies,222,,,,,
Frequencies,223,,,,,
Frequencies,224,,,,,
Frequencies,225,,,,,
Frequencies,226,,,,,
Frequencies,227,,,,,
Frequencies,228,,,,,
Frequencies,229,,,,,
Frequencies,230,,,,,
Frequencies,231,,,,,
Frequencies,232,,,,,
Frequencies,233,,,,,
Frequencies,234,,,,,
Frequencies,235,,,,,
Frequencies,236,,,,,
Frequencies,237,,,,,
Frequencies,238,,,,,
Frequencies,239,,,,,
Frequencies,240,,,,,
Frequencies,241,,,,,
Frequencies,242,,,,,
Frequencies,243,,,,,
Frequencies,244,,,,,
Frequencies,245,,,,,
Frequencies,246,,,,,
Frequencies,247,,,,,
Frequencies,248,,,,,
Frequencies,249,,,,,
Frequencies,250,,,,,
Frequencies,251,,,,,
Frequencies,252,,,,,
Frequencies,253,,,,,
Frequencies,254,,,,,
Frequencies,255,,,,,
Frequencies,256,,,,,
Frequencies,257,,,,,
Frequencies,258,,,,,
Frequencies,259,,,,,
Frequencies,260,,,,,
Frequencies,261,,,,,
Frequencies,262,,,,,
Frequencies,263,,,,,
Frequencies,264,,,,,
Frequencies,265,,,,,
Frequencies,266,,,,,
Frequencies,267,,,,,
Frequencies,268,,,,,
Frequencies,269,,,,,
Frequencies,270,,,,,
Frequencies,271,,,,,
Frequencies,272,,,,,
Frequencies,273,,,,,
Frequencies,274,,,,,
Frequencies,275,,,,,
Frequencies,276,,,,,
Frequencies,277,,,,,
Frequencies,278,,,,,
Frequencies,279,,,,,
Frequencies,280,,,,,
Frequencies,281,,,,,
Frequencies,282,,,,,
Frequencies,283,,,,,
Frequencies,284,,,,,
Frequencies,285,,,,,
