sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File Documentation for the Institutional Characteristics Data File, 2023-24",,,,,,,,,
Introduction,1,Student Charges for Full Academic Year ,,,,,,,,,
Introduction,2,(Provisional/Final release),,,,,,,,,
Introduction,3,,,,,,,,,,
Introduction,4,Filename,IC2023_AY
Introduction,5,Overview,"This file contains data on student charges for a full academic year.  Institutions that offer primarily academic programs measured in credit hours have a predominant calendar system of semester, quarter, trimester, or 4-1-4 or other academic calendar system report student charges for the full academic year.  Student charges on this data file include: average tuition and required fees for both full-time undergraduate and graduate students; per credit hour charges for both part-time undergraduate and graduate students;  Typical tuition and required fees for a full-time Doctor's - professional practice student in Chiropractic (D.C. or D.C.M.), Dentistry (D.D.S. or D.M.D.), Law (L.L.B. or J.D.), Medicine (M.D.), Optometry (O.D.), Osteopathic Medicine (D.O), Pharmacy (Pharm.D.), Podiatry (D.P.M., Pod.D., D.P.), or, Veterinary Medicine (D.V.M.), and Law (J.D.).
The price of attendance of full-time first-time undergraduates that are made available to the public on College Navigator is included on this file.  Price of attendance includes amounts for published tuition and required fees, books and supplies, room and board and other expenses.  Estimates for books and supplies, room and board and other expenses are those from the Cost of Attendance report used by the financial aid office in determining financial need.",,,,,,,,
Introduction,6,Note,"IPEDS data, including provisional release data and final release data, adhere to rigorous quality control procedures established by NCES. Data are imputed for nonresponding institutions. Provisional release data are used for First Look  web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. While the final release data offer  the most up to date data, these data may not match tables from the First Look web tables based on provisional release data.  Unlike for all other IPEDS data, the revision process for the cost of attendance data occurs in the current (rather than subsequent) data collection year as institutions report 4 years of cost of attendance data. As such, each year’s cost of attendance data release is considered both provisional and final.  ",,,,,,,,
Introduction,7,Contents of spreadsheet,,,,,,,,,
Introduction,8,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,9,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,10,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. ",,,,,,,,
Introduction,11,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,59,11942,CHG1AT1,N,5,Cont,Xchg1at1,Published in-district tuition 2021-22
varlist,60,11943,CHG1AF1,N,5,Cont,Xchg1af1,Published in-district fees 2021-22
varlist,61,11941,CHG1AY1,N,5,Cont,Xchg1ay1,Published in-district tuition and fees 2021-22
varlist,62,11947,CHG1AT2,N,5,Cont,Xchg1at2,Published in-district tuition 2022-23
varlist,63,11948,CHG1AF2,N,5,Cont,Xchg1af2,Published in-district fees 2022-23
varlist,64,11946,CHG1AY2,N,5,Cont,Xchg1ay2,Published in-district tuition and fees 2022-23
varlist,65,11952,CHG1AT3,N,5,Cont,Xchg1at3,Published in-district tuition 2023-24
varlist,66,11953,CHG1AF3,N,5,Cont,Xchg1af3,Published in-district fees 2023-24
varlist,67,11951,CHG1AY3,N,5,Cont,Xchg1ay3,Published in-district tuition and fees 2023-24
varlist,68,11954,CHG1TGTD,N,3,Cont,,Published in-district tuition 2023-24 guaranteed percent increase (if applicable)
varlist,69,11955,CHG1FGTD,N,3,Cont,,Published in-district fees 2023-24 guaranteed percent increase (if applicable)
varlist,70,15272,CHG2AT0,N,5,Cont,Xchg2at0,Published in-state tuition 2020-21
varlist,71,15273,CHG2AF0,N,5,Cont,Xchg2af0,Published in-state fees 2020-21
varlist,72,15271,CHG2AY0,N,5,Cont,Xchg2ay0,Published in-state tuition and fees 2020-21
varlist,73,11957,CHG2AT1,N,5,Cont,Xchg2at1,Published in-state tuition 2021-22
varlist,74,11958,CHG2AF1,N,5,Cont,Xchg2af1,Published in-state fees 2021-22
varlist,75,11956,CHG2AY1,N,5,Cont,Xchg2ay1,Published in-state tuition and fees 2021-22
varlist,76,11962,CHG2AT2,N,5,Cont,Xchg2at2,Published in-state tuition 2022-23
varlist,77,11963,CHG2AF2,N,5,Cont,xchg2af2,Published in-state fees 2022-23
varlist,78,11961,CHG2AY2,N,5,Cont,Xchg2ay2,Published in-state tuition and fees 2022-23
varlist,79,11967,CHG2AT3,N,5,Cont,xchg2at3,Published in-state tuition 2023-24
varlist,80,11968,CHG2AF3,N,5,Cont,xchg2af3,Published in-state fees 2023-24
varlist,81,11966,CHG2AY3,N,5,Cont,Xchg2ay3,Published in-state tuition and fees 2023-24
varlist,82,11969,CHG2TGTD,N,3,Cont,,Published in-state tuition 2023-24 guaranteed percent increase (if applicable)
varlist,83,11970,CHG2FGTD,N,3,Cont,,Published in-state fees 2023-24 guaranteed percent increase (if applicable)
varlist,84,15282,CHG3AT0,N,5,Cont,Xchg3at0,Published out-of-state tuition 2020-21
varlist,85,15283,CHG3AF0,N,5,Cont,Xchg3af0,Published out-of-state fees 2020-21
varlist,86,15281,CHG3AY0,N,5,Cont,Xchg3ay0,Published out-of-state tuition and fees 2020-21
