year,UNITID,ARANK,XSAINSTT,SAINSTT,XSAINSTM,SAINSTM,XSAINSTW,SAINSTW,XSA_9MCT,SA_9MCT,XSA_9MCM,SA_9MCM,XSA_9MCW,SA_9MCW,XSATOTLT,SATOTLT,XSATOTLM,SATOTLM,XSATOTLW,SATOTLW,XSA09MCT,SA09MCT,XSA09MCM,SA09MCM,XSA09MCW,SA09MCW,XSA10MCT,SA10MCT,XSA10MCM,SA10MCM,XSA10MCW,SA10MCW,XSA11MCT,SA11MCT,XSA11MCM,SA11MCM,XSA11MCW,SA11MCW,XSA12MCT,SA12MCT,XSA12MCM,SA12MCM,XSA12MCW,SA12MCW,XSAOUTLT,SAOUTLT,XSAOUTLM,SAOUTLM,XSAOUTLW,SAOUTLW,XSA09MOT,SA09MOT,XSA09MOM,SA09MOM,XSA09MOW,SA09MOW,XSA10MOT,SA10MOT,XSA10MOM,SA10MOM,XSA10MOW,SA10MOW,XSA11MOT,SA11MOT,XSA11MOM,SA11MOM,XSA11MOW,SA11MOW,XSA12MOT,SA12MOT,XSA12MOM,SA12MOM,XSA12MOW,SA12MOW,XSAEQ9OT,SAEQ9OT,XSAEQ9OM,SAEQ9OM,XSAEQ9OW,SAEQ9OW,XSAEQ9AT,SAEQ9AT,XSAEQ9AM,SAEQ9AM,XSAEQ9AW,SAEQ9AW,XSA09MAT,SA09MAT,XSA09MAM,SA09MAM,XSA09MAW,SA09MAW,XSA10MAT,SA10MAT,XSA10MAM,SA10MAM,XSA10MAW,SA10MAW,XSA11MAT,SA11MAT,XSA11MAM,SA11MAM,XSA11MAW,SA11MAW,XSA12MAT,SA12MAT,XSA12MAM,SA12MAM,XSA12MAW,SA12MAW 
2021,110644,1,R,832,R,531,R,301,R,0,R,0,R,0,R,832,R,531,R,301,R,555,R,358,R,197,R,0,R,0,R,0,R,0,R,0,R,0,R,277,R,173,R,104,R,166326620,R,108658417,R,57668203,R,105170520,R,69292717,R,35877803,R,0,R,0,R,0,R,0,R,0,R,0,R,61156100,R,39365700,R,21790400,R,151037595,R,98816992,R,52220603,R,181536,R,186096,R,173490,R,189496,R,193555,R,182121,A,,A,,A,,A,,A,,A,,R,220780,R,227547,R,209523
2021,110644,2,R,304,R,154,R,150,R,0,R,0,R,0,R,304,R,154,R,150,R,249,R,125,R,124,R,0,R,0,R,0,R,0,R,0,R,0,R,55,R,29,R,26,R,40210500,R,20718200,R,19492300,R,31238300,R,16007700,R,15230600,R,0,R,0,R,0,R,0,R,0,R,0,R,8972200,R,4710500,R,4261700,R,37967450,R,19540575,R,18426875,R,124893,R,126887,R,122846,R,125455,R,128062,R,122827,A,,A,,A,,A,,A,,A,,R,163131,R,162431,R,163912
2021,110644,3,R,295,R,150,R,145,R,0,R,0,R,0,R,295,R,150,R,145,R,232,R,130,R,102,R,0,R,0,R,0,R,0,R,0,R,0,R,63,R,20,R,43,R,34476900,R,17740800,R,16736100,R,25414000,R,14771300,R,10642700,R,0,R,0,R,0,R,0,R,0,R,0,R,9062900,R,2969500,R,6093400,R,32211175,R,16998425,R,15212750,R,109190,R,113323,R,104916,R,109543,R,113625,R,104340,A,,A,,A,,A,,A,,A,,R,143856,R,148475,R,141707
2021,110644,4,R,10,R,2,R,8,R,0,R,0,R,0,R,10,R,2,R,8,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,10,R,2,R,8,R,680000,R,136000,R,544000,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,680000,R,136000,R,544000,R,510000,R,102000,R,408000,R,51000,R,51000,R,51000,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,68000,R,68000,R,68000
2021,110644,5,R,252,R,112,R,140,R,0,R,0,R,0,R,252,R,112,R,140,R,252,R,112,R,140,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,21278662,R,9702590,R,11576072,R,21278662,R,9702590,R,11576072,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,21278662,R,9702590,R,11576072,R,84439,R,86630,R,82686,R,84439,R,86630,R,82686,A,,A,,A,,A,,A,,A,,A,,A,,A,
2021,110644,6,R,3,R,0,R,3,R,0,Z,0,R,0,R,3,R,0,R,3,R,3,Z,0,R,3,R,0,Z,0,R,0,R,0,Z,0,R,0,R,0,Z,0,R,0,R,164137,R,0,R,164137,R,164137,Z,0,R,164137,R,0,Z,0,R,0,R,0,Z,0,R,0,R,0,Z,0,R,0,R,164137,R,0,R,164137,R,54712,A,,R,54712,R,54712,A,,R,54712,A,,A,,A,,A,,A,,A,,A,,A,,A,
2021,110644,7,R,1696,R,949,R,747,R,0,R,0,R,0,R,1696,R,949,R,747,R,1291,R,725,R,566,R,0,R,0,R,0,R,0,R,0,R,0,R,405,R,224,R,181,R,263136819,R,156956007,R,106180812,R,183265619,R,109774307,R,73491312,R,0,R,0,R,0,R,0,R,0,R,0,R,79871200,R,47181700,R,32689500,R,243169019,R,145160582,R,98008437,R,143378,R,152962,R,131203,R,141956,R,151413,R,129843,A,,A,,A,,A,,A,,A,,R,197213,R,210633,R,180605
2021,110653,1,R,624,R,417,R,207,R,0,R,0,R,0,R,624,R,417,R,207,R,613,R,413,R,200,R,0,R,0,R,0,R,0,R,0,R,0,R,11,R,4,R,7,R,121770500,R,83159600,R,38610900,R,119724400,R,82390200,R,37334200,R,0,R,0,R,0,R,0,R,0,R,0,R,2046100,R,769400,R,1276700,R,121258975,R,82967250,R,38291725,R,194325,R,198962,R,184984,R,195309,R,199492,R,186671,A,,A,,A,,A,,A,,A,,R,186009,R,192350,R,182386
2021,110653,2,R,255,R,130,R,125,R,0,R,0,R,0,R,255,R,130,R,125,R,241,R,126,R,115,R,0,R,0,R,0,R,0,R,0,R,0,R,14,R,4,R,10,R,33853300,R,17363600,R,16489700,R,31910600,R,16795200,R,15115400,R,0,R,0,R,0,R,0,R,0,R,0,R,1942700,R,568400,R,1374300,R,33367625,R,17221500,R,16146125,R,130853,R,132473,R,129169,R,132409,R,133295,R,131438,A,,A,,A,,A,,A,,A,,R,138764,R,142100,R,137430
2021,110653,3,R,249,R,120,R,129,R,0,R,0,R,0,R,249,R,120,R,129,R,228,R,116,R,112,R,0,R,0,R,0,R,0,R,0,R,0,R,21,R,4,R,17,R,27693000,R,13121800,R,14571200,R,24975600,R,12676300,R,12299300,R,0,R,0,R,0,R,0,R,0,R,0,R,2717400,R,445500,R,2271900,R,27013650,R,13010425,R,14003225,R,108489,R,108420,R,108552,R,109542,R,109278,R,109815,A,,A,,A,,A,,A,,A,,R,129400,R,111375,R,133641
2021,110653,5,R,243,R,108,R,135,R,0,R,0,R,0,R,243,R,108,R,135,R,243,R,108,R,135,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,24902326,R,11119743,R,13782583,R,24902326,R,11119743,R,13782583,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,24902326,R,11119743,R,13782583,R,102479,R,102961,R,102093,R,102479,R,102961,R,102093,A,,A,,A,,A,,A,,A,,A,,A,,A,
2021,110653,7,R,1371,R,775,R,596,R,0,R,0,R,0,R,1371,R,775,R,596,R,1325,R,763,R,562,R,0,R,0,R,0,R,0,R,0,R,0,R,46,R,12,R,34,R,208219126,R,124764743,R,83454383,R,201512926,R,122981443,R,78531483,R,0,R,0,R,0,R,0,R,0,R,0,R,6706200,R,1783300,R,4922900,R,206542576,R,124318918,R,82223658,R,150651,R,160412,R,137959,R,152085,R,161181,R,139736,A,,A,,A,,A,,A,,A,,R,145787,R,148608,R,144791
2021,110662,1,R,1027,R,661,R,366,R,0,R,0,R,0,R,1027,R,661,R,366,R,954,R,618,R,336,R,0,R,0,R,0,R,0,R,0,R,0,R,73,R,43,R,30,R,247288419,R,163742819,R,83545600,R,230642929,R,153174029,R,77468900,R,0,R,0,R,0,R,0,R,0,R,0,R,16645490,R,10568790,R,6076700,R,243127047,R,161100622,R,82026425,R,236735,R,243723,R,224116,R,241764,R,247854,R,230562,A,,A,,A,,A,,A,,A,,R,228020,R,245786,R,202557
2021,110662,2,R,270,R,136,R,134,R,0,R,0,R,0,R,270,R,136,R,134,R,247,R,132,R,115,R,0,R,0,R,0,R,0,R,0,R,0,R,23,R,4,R,19,R,41244004,R,21166900,R,20077104,R,37911204,R,20520800,R,17390404,R,0,R,0,R,0,R,0,R,0,R,0,R,3332800,R,646100,R,2686700,R,40410804,R,21005375,R,19405429,R,149670,R,154451,R,144817,R,153487,R,155461,R,151221,A,,A,,A,,A,,A,,A,,R,144904,R,161525,R,141405
2021,110662,3,R,415,R,218,R,197,R,0,R,0,R,0,R,415,R,218,R,197,R,369,R,197,R,172,R,0,R,0,R,0,R,0,R,0,R,0,R,46,R,21,R,25,R,49303200,R,26050600,R,23252600,R,43877100,R,23462400,R,20414700,R,0,R,0,R,0,R,0,R,0,R,0,R,5426100,R,2588200,R,2837900,R,47946675,R,25403550,R,22543125,R,115534,R,116530,R,114432,R,118908,R,119098,R,118690,A,,A,,A,,A,,A,,A,,R,117959,R,123248,R,113516
2021,110662,4,R,1,R,1,R,0,R,0,R,0,Z,0,R,1,R,1,R,0,R,0,R,0,Z,0,R,0,R,0,Z,0,R,0,R,0,Z,0,R,1,R,1,Z,0,R,95200,R,95200,R,0,R,0,R,0,Z,0,R,0,R,0,Z,0,R,0,R,0,Z,0,R,95200,R,95200,Z,0,R,71400,R,71400,R,0,R,71400,R,71400,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,95200,R,95200,A,
2021,110662,5,R,283,R,130,R,153,R,0,R,0,R,0,R,283,R,130,R,153,R,222,R,105,R,117,R,0,R,0,R,0,R,0,R,0,R,0,R,61,R,25,R,36,R,26570605,R,12625130,R,13945475,R,20703814,R,10266151,R,10437663,R,0,R,0,R,0,R,0,R,0,R,0,R,5866791,R,2358979,R,3507812,R,25103907,R,12035385,R,13068522,R,88706,R,92580,R,85415,R,93260,R,97773,R,89211,A,,A,,A,,A,,A,,A,,R,96177,R,94359,R,97439
2021,110662,6,R,19,R,11,R,8,R,0,R,0,R,0,R,19,R,11,R,8,R,12,R,8,R,4,R,0,R,0,R,0,R,0,R,0,R,0,R,7,R,3,R,4,R,1429299,R,698192,R,731107,R,783628,R,457113,R,326515,R,0,R,0,R,0,R,0,R,0,R,0,R,645671,R,241079,R,404592,R,1267881,R,637922,R,629959,R,66731,R,57993,R,78745,R,65302,R,57139,R,81629,A,,A,,A,,A,,A,,A,,R,92239,R,80360,R,101148
2021,110662,7,R,2015,R,1157,R,858,R,0,R,0,R,0,R,2015,R,1157,R,858,R,1804,R,1060,R,744,R,0,R,0,R,0,R,0,R,0,R,0,R,211,R,97,R,114,R,365930727,R,224378841,R,141551886,R,333918675,R,207880493,R,126038182,R,0,R,0,R,0,R,0,R,0,R,0,R,32012052,R,16498348,R,15513704,R,357927714,R,220254254,R,137673460,R,177632,R,190367,R,160459,R,185099,R,196114,R,169406,A,,A,,A,,A,,A,,A,,R,151716,R,170086,R,136085
2021,110671,1,R,330,R,232,R,98,R,0,R,0,R,0,R,330,R,232,R,98,R,306,R,215,R,91,R,0,R,0,R,0,R,0,R,0,R,0,R,24,R,17,R,7,R,61277252,R,43870800,R,17406452,R,56307052,R,40196900,R,16110152,R,0,R,0,R,0,R,0,R,0,R,0,R,4970200,R,3673900,R,1296300,R,60034702,R,42952325,R,17082377,R,181923,R,185139,R,174310,R,184010,R,186962,R,177035,A,,A,,A,,A,,A,,A,,R,207092,R,216112,R,185186
2021,110671,2,R,218,R,113,R,105,R,0,R,0,R,0,R,218,R,113,R,105,R,216,R,112,R,104,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,1,R,1,R,26475100,R,13906900,R,12568200,R,26223900,R,13774300,R,12449600,R,0,R,0,R,0,R,0,R,0,R,0,R,251200,R,132600,R,118600,R,26412300,R,13873750,R,12538550,R,121157,R,122777,R,119415,R,121407,R,122985,R,119708,A,,A,,A,,A,,A,,A,,R,125600,R,132600,R,118600
2021,110671,3,R,218,R,128,R,90,R,0,R,0,R,0,R,218,R,128,R,90,R,217,R,127,R,90,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,22609183,R,13513183,R,9096000,R,22550683,R,13454683,R,9096000,R,0,R,0,R,0,R,58500,R,58500,R,0,R,0,R,0,R,0,R,22598536,R,13502536,R,9096000,R,103663,R,105489,R,101067,R,103920,R,105942,R,101067,A,,A,,A,,R,58500,R,58500,A,,A,,A,,A,
2021,110671,5,R,142,R,69,R,73,R,0,R,0,R,0,R,142,R,69,R,73,R,142,R,69,R,73,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,12182396,R,6263035,R,5919361,R,12182396,R,6263035,R,5919361,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,12182396,R,6263035,R,5919361,R,85792,R,90769,R,81087,R,85792,R,90769,R,81087,A,,A,,A,,A,,A,,A,,A,,A,,A,
2021,110671,6,R,7,R,1,R,6,R,0,R,0,R,0,R,7,R,1,R,6,R,7,R,1,R,6,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,576650,R,76815,R,499835,R,576650,R,76815,R,499835,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,576650,R,76815,R,499835,R,82379,R,76815,R,83306,R,82379,R,76815,R,83306,A,,A,,A,,A,,A,,A,,A,,A,,A,
2021,110671,7,R,915,R,543,R,372,R,0,R,0,R,0,R,915,R,543,R,372,R,888,R,524,R,364,R,0,R,0,R,0,R,1,R,1,R,0,R,26,R,18,R,8,R,123120581,R,77630733,R,45489848,R,117840681,R,73765733,R,44074948,R,0,R,0,R,0,R,58500,R,58500,R,0,R,5221400,R,3806500,R,1414900,R,121804584,R,76668461,R,45136123,R,133120,R,141194,R,121334,R,132703,R,140774,R,121085,A,,A,,A,,R,58500,R,58500,A,,R,200823,R,211472,R,176863
