year,UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 ,ADMCON10,ADMCON11,ADMCON12,XAPPLCNAN,APPLCNAN,XAPPLCNUN,APPLCNUN,XADMSSNAN,ADMSSNAN,XADMSSNUN,ADMSSNUN,XENRLAN,ENRLAN,XENRLUN,ENRLUN,XENRLFTAN,ENRLFTAN,XENRLFTUN,ENRLFTUN,XENRLPTAN,ENRLPTAN,XENRLPTUN,ENRLPTUN,XSATVR50,SATVR50,XSATMT50,SATMT50,XACTCM50,ACTCM50,XACTEN50,ACTEN50,XACTMT50,ACTMT50,ACTMT75   
2019,134097,1,5,1,1,3,3,1,1,3,R,58936,R,22707,R,36229,R,21202,R,8017,R,13185,R,7106,R,2809,R,4297,R,7056,R,2794,R,4262,R,50,R,15,R,35,R,4967,R,70,R,2139,R,30,R,610,R,670,R,590,R,670,R,26,R,30,R,25,R,33,R,24,R,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,134130,1,3,1,5,3,3,1,3,3,R,40139,R,17126,R,23013,R,13925,R,5614,R,8311,R,6554,R,2688,R,3866,R,6534,R,2679,R,3855,R,20,R,9,R,11,R,5540,R,85,R,3281,R,50,R,650,R,720,R,660,R,750,R,28,R,33,R,27,R,35,R,26,R,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,135726,1,2,1,2,1,5,1,1,3,R,38920,R,17268,R,21652,R,10558,R,5064,R,5494,R,2204,R,1010,R,1194,R,2180,R,1001,R,1179,R,24,R,9,R,15,R,1255,R,57,R,829,R,38,R,630,R,700,R,640,R,740,R,29,R,32,R,29,R,35,R,26,R,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,137351,1,2,1,1,3,3,1,1,3,R,36986,R,14725,R,22261,R,17618,R,7039,R,10579,R,5139,R,2155,R,2984,R,5050,R,2106,R,2944,R,89,R,49,R,40,R,3799,R,74,R,1340,R,26,R,590,R,660,R,580,R,670,R,25,R,30,R,24,R,31,R,23,R,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,139658,2,5,1,2,1,3,1,2,3,R,30017,R,11956,R,18061,R,4682,R,2005,R,2677,R,1374,R,595,R,779,R,1374,R,595,R,779,R,0,R,0,R,0,R,816,R,59,R,558,R,41,R,670,R,740,R,690,R,790,R,31,R,34,A,,A,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,139755,1,3,1,1,5,3,1,2,3,R,36856,R,25178,R,11678,R,7584,R,4310,R,3274,R,3076,R,1766,R,1310,R,3073,R,1763,R,1310,R,3,R,3,R,0,R,2263,R,74,R,1623,R,53,R,630,R,730,R,670,R,780,R,29,R,34,R,29,R,35,R,29,R,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,139959,1,3,1,1,2,3,1,5,3,R,29285,R,11513,R,17739,R,13265,R,4823,R,8424,R,5499,R,2117,R,3382,R,5487,R,2110,R,3377,R,12,R,7,R,5,R,3846,R,70,R,3486,R,63,R,630,R,700,R,610,R,720,R,27,R,32,R,27,R,35,R,25,R,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,144050,5,5,1,1,1,5,5,1,3,R,34641,R,15854,R,18787,R,2137,R,1075,R,1062,R,1726,R,900,R,826,R,1726,R,900,R,826,A,,A,,A,,R,925,R,54,R,884,R,51,R,730,R,770,R,770,R,800,R,33,R,35,R,35,R,36,R,31,R,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,145600,1,1,1,1,2,3,1,1,3,R,22696,R,9948,R,12748,R,16501,R,6936,R,9565,R,4407,R,1988,R,2419,R,4381,R,1971,R,2410,R,26,R,17,R,9,R,3573,R,81,R,1252,R,28,R,510,R,620,R,520,R,640,R,21,R,28,R,21,R,30,R,20,R,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,145637,3,3,1,1,3,3,1,5,3,R,43509,R,24316,R,19193,R,25684,R,13183,R,12501,R,7665,R,4086,R,3579,R,7660,R,4084,R,3576,R,5,R,2,R,3,R,6030,R,79,R,4213,R,55,R,600,R,700,R,610,R,770,R,26,R,32,R,25,R,34,R,25,R,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,147767,1,2,1,1,1,3,1,1,3,R,40585,R,19516,R,21069,R,3673,R,1796,R,1877,R,2006,R,992,R,1014,R,2006,R,992,R,1014,A,,A,,A,,R,1284,R,64,R,1070,R,53,R,700,R,760,R,740,R,790,R,33,R,35,R,34,R,36,R,31,R,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,151351,2,2,1,1,3,3,1,1,3,R,42902,R,19783,R,23119,R,33425,R,15513,R,17912,R,8291,R,4170,R,4121,R,8268,R,4158,R,4110,R,23,R,12,R,11,R,6292,R,76,R,4689,R,57,R,580,R,670,R,570,R,690,R,24,R,31,R,23,R,33,R,24,R,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
