year,UNITID,EFBAGE,LINE,LSTUDY,XEFAGE01,EFAGE01,XEFAGE02,EFAGE02,XEFAGE03,EFAGE03,XEFAGE04,EFAGE04,XEFAGE05,EFAGE05,XEFAGE06,EFAGE06,XEFAGE07,EFAGE07,XEFAGE08,EFAGE08,XEFAGE09,EFAGE09 
2022,110671, 1,112,2,R,10542,R,11427,R,522,R,420,R,21969,R,942,R,11064,R,11847,R,22911
2022,110671, 1,312,5,R,1952,R,1635,R,177,R,134,R,3587,R,311,R,2129,R,1769,R,3898
2022,110671, 2,999,1,R,10559,R,11371,R,446,R,371,R,21930,R,817,R,11005,R,11742,R,22747
2022,110671, 2,999,2,R,9919,R,10868,R,416,R,347,R,20787,R,763,R,10335,R,11215,R,21550
2022,110671, 2,999,5,R,640,R,503,R,30,R,24,R,1143,R,54,R,670,R,527,R,1197
2022,110671, 3,  1,1,R,355,R,488,R,1,R,5,R,843,R,6,R,356,R,493,R,849
2022,110671, 3,  1,2,R,354,R,488,R,1,R,5,R,842,R,6,R,355,R,493,R,848
2022,110671, 3,  1,5,R,1,R,0,Z,0,Z,0,R,1,Z,0,R,1,R,0,R,1
2022,110671, 4,  2,1,R,4455,R,5064,R,66,R,75,R,9519,R,141,R,4521,R,5139,R,9660
2022,110671, 4,  2,2,R,4455,R,5064,R,66,R,75,R,9519,R,141,R,4521,R,5139,R,9660
2022,110671, 5,  3,1,R,3735,R,4341,R,165,R,153,R,8076,R,318,R,3900,R,4494,R,8394
2022,110671, 5,  3,2,R,3702,R,4300,R,164,R,153,R,8002,R,317,R,3866,R,4453,R,8319
2022,110671, 5,  3,5,R,33,R,41,R,1,R,0,R,74,R,1,R,34,R,41,R,75
2022,110671, 6,  4,1,R,2014,R,1478,R,214,R,138,R,3492,R,352,R,2228,R,1616,R,3844
2022,110671, 6,  4,2,R,1408,R,1016,R,185,R,114,R,2424,R,299,R,1593,R,1130,R,2723
2022,110671, 6,  4,5,R,606,R,462,R,29,R,24,R,1068,R,53,R,635,R,486,R,1121
