year,UNITID,STAFFCAT,FTPT,OCCUPCAT,SABDTYPE,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
2023,100858,2330,2,330,-2,R,743,R,260,R,483,Z,0,Z,0,Z,0,R,7,R,4,R,3,R,105,R,30,R,75,R,23,R,7,R,16,R,2,R,2,Z,0,R,589,R,213,R,376,R,9,R,2,R,7,R,7,R,2,R,5,R,1,Z,0,R,1
2023,100858,2340,2,340,-2,R,38,R,14,R,24,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,33,R,13,R,20,R,1,R,1,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0
2023,100858,2350,2,350,-2,R,378,R,177,R,201,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,105,R,47,R,58,R,10,R,4,R,6,Z,0,Z,0,Z,0,R,249,R,118,R,131,R,8,R,4,R,4,R,4,R,4,Z,0,Z,0,Z,0,Z,0
2023,100858,2360,2,360,-2,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,100858,2370,2,370,-2,R,514,R,39,R,475,R,1,Z,0,R,1,R,4,Z,0,R,4,R,100,R,5,R,95,R,10,Z,0,R,10,Z,0,Z,0,Z,0,R,391,R,33,R,358,R,4,R,1,R,3,R,4,Z,0,R,4,Z,0,Z,0,Z,0
2023,100858,2380,2,380,-2,R,363,R,337,R,26,R,6,R,6,Z,0,R,1,R,1,Z,0,R,39,R,35,R,4,R,8,R,7,R,1,Z,0,Z,0,Z,0,R,304,R,284,R,20,R,4,R,3,R,1,R,1,R,1,Z,0,Z,0,Z,0,Z,0
2023,100858,2390,2,390,-2,R,58,R,50,R,8,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,6,R,5,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,51,R,45,R,6,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,100858,3100,3,100,-2,R,1299,R,570,R,729,R,6,R,3,R,3,R,40,R,17,R,23,R,156,R,56,R,100,R,39,R,17,R,22,Z,0,Z,0,Z,0,R,942,R,418,R,524,R,21,R,8,R,13,R,21,R,11,R,10,R,74,R,40,R,34
2023,100858,3200,3,200,70,R,318,R,175,R,143,R,3,R,2,R,1,R,13,R,4,R,9,R,7,R,2,R,5,R,5,R,3,R,2,Z,0,Z,0,Z,0,R,217,R,124,R,93,R,7,R,3,R,4,R,3,R,3,Z,0,R,63,R,34,R,29
2023,100858,3210,3,210,-2,R,260,R,143,R,117,R,3,R,2,R,1,R,12,R,4,R,8,R,7,R,2,R,5,R,5,R,3,R,2,Z,0,Z,0,Z,0,R,215,R,123,R,92,R,7,R,3,R,4,R,3,R,3,Z,0,R,8,R,3,R,5
