year,UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW ,EFNRALW,XEFGNDRUN,EFGNDRUN,XEFGNDRAN,EFGNDRAN,XEFGNDRUA,EFGNDRUA,XEFGNDRKN,EFGNDRKN  ,XEFGNDRU,XEFGNDRA,XEFGNDRK,EFGNDRKN
2019,100858,60,17,2,1,R,1706,R,1065,R,641,R,9,R,5,R,4,R,56,R,32,R,24,R,116,R,60,R,56,R,60,R,34,R,26,R,2,Z,0,R,2,R,1371,R,865,R,506,R,49,R,36,R,13,R,13,R,12,R,1,R,30,R,21,R,9,,,,,,,,,,,,,
2019,110404, 1,29,3,4,R,2237,R,1403,R,834,R,2,R,2,Z,0,R,479,R,230,R,249,R,24,R,17,R,7,R,229,R,171,R,58,R,1,R,1,Z,0,R,675,R,428,R,247,R,124,R,71,R,53,R,11,R,6,R,5,R,692,R,477,R,215,,,,,,,,,,,,,
2019,110404, 2,99,3,1,R,938,R,513,R,425,Z,0,Z,0,Z,0,R,343,R,150,R,193,R,16,R,11,R,5,R,161,R,127,R,34,R,1,R,1,Z,0,R,253,R,139,R,114,R,84,R,46,R,38,R,1,Z,0,R,1,R,79,R,39,R,40,,,,,,,,,,,,,
2019,110404, 3,99,3,1,R,938,R,513,R,425,Z,0,Z,0,Z,0,R,343,R,150,R,193,R,16,R,11,R,5,R,161,R,127,R,34,R,1,R,1,Z,0,R,253,R,139,R,114,R,84,R,46,R,38,R,1,Z,0,R,1,R,79,R,39,R,40,,,,,,,,,,,,,
2019,110404, 4,99,3,1,R,235,R,132,R,103,Z,0,Z,0,Z,0,R,75,R,32,R,43,R,6,R,5,R,1,R,57,R,46,R,11,R,1,R,1,Z,0,R,63,R,28,R,35,R,19,R,13,R,6,R,1,Z,0,R,1,R,13,R,7,R,6,,,,,,,,,,,,,
2019,110404, 5,99,3,1,R,703,R,381,R,322,Z,0,Z,0,Z,0,R,268,R,118,R,150,R,10,R,6,R,4,R,104,R,81,R,23,Z,0,Z,0,Z,0,R,190,R,111,R,79,R,65,R,33,R,32,Z,0,Z,0,Z,0,R,66,R,32,R,34,,,,,,,,,,,,,
2019,110404,12,99,3,3,R,1299,R,890,R,409,R,2,R,2,Z,0,R,136,R,80,R,56,R,8,R,6,R,2,R,68,R,44,R,24,Z,0,Z,0,Z,0,R,422,R,289,R,133,R,40,R,25,R,15,R,10,R,6,R,4,R,613,R,438,R,175,,,,,,,,,,,,,
2019,110404,19,99,3,1,R,6,R,4,R,2,Z,0,Z,0,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,1,R,1,,,,,,,,,,,,,
2019,110404,20,99,3,1,R,697,R,377,R,320,Z,0,Z,0,Z,0,R,266,R,117,R,149,R,10,R,6,R,4,R,104,R,81,R,23,Z,0,Z,0,Z,0,R,188,R,109,R,79,R,65,R,33,R,32,Z,0,Z,0,Z,0,R,64,R,31,R,33,,,,,,,,,,,,,
2019,110404,21,14,1,4,R,2237,R,1403,R,834,R,2,R,2,Z,0,R,479,R,230,R,249,R,24,R,17,R,7,R,229,R,171,R,58,R,1,R,1,Z,0,R,675,R,428,R,247,R,124,R,71,R,53,R,11,R,6,R,5,R,692,R,477,R,215,,,,,,,,,,,,,
2019,110404,22, 8,1,1,R,938,R,513,R,425,Z,0,Z,0,Z,0,R,343,R,150,R,193,R,16,R,11,R,5,R,161,R,127,R,34,R,1,R,1,Z,0,R,253,R,139,R,114,R,84,R,46,R,38,R,1,Z,0,R,1,R,79,R,39,R,40,,,,,,,,,,,,,
2019,110404,23, 6,1,1,R,938,R,513,R,425,Z,0,Z,0,Z,0,R,343,R,150,R,193,R,16,R,11,R,5,R,161,R,127,R,34,R,1,R,1,Z,0,R,253,R,139,R,114,R,84,R,46,R,38,R,1,Z,0,R,1,R,79,R,39,R,40,,,,,,,,,,,,,
2019,110404,24, 1,1,1,R,235,R,132,R,103,Z,0,Z,0,Z,0,R,75,R,32,R,43,R,6,R,5,R,1,R,57,R,46,R,11,R,1,R,1,Z,0,R,63,R,28,R,35,R,19,R,13,R,6,R,1,Z,0,R,1,R,13,R,7,R,6,,,,,,,,,,,,,
2019,110404,25,99,1,1,R,703,R,381,R,322,Z,0,Z,0,Z,0,R,268,R,118,R,150,R,10,R,6,R,4,R,104,R,81,R,23,Z,0,Z,0,Z,0,R,190,R,111,R,79,R,65,R,33,R,32,Z,0,Z,0,Z,0,R,66,R,32,R,34,,,,,,,,,,,,,
2019,110404,32,11,1,3,R,1299,R,890,R,409,R,2,R,2,Z,0,R,136,R,80,R,56,R,8,R,6,R,2,R,68,R,44,R,24,Z,0,Z,0,Z,0,R,422,R,289,R,133,R,40,R,25,R,15,R,10,R,6,R,4,R,613,R,438,R,175,,,,,,,,,,,,,
2019,110404,39, 2,1,1,R,6,R,4,R,2,Z,0,Z,0,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,1,R,1,,,,,,,,,,,,,
2019,110404,40, 3,1,1,R,697,R,377,R,320,Z,0,Z,0,Z,0,R,266,R,117,R,149,R,10,R,6,R,4,R,104,R,81,R,23,Z,0,Z,0,Z,0,R,188,R,109,R,79,R,65,R,33,R,32,Z,0,Z,0,Z,0,R,64,R,31,R,33,,,,,,,,,,,,,
2019,110635, 1,29,3,4,R,43185,R,20791,R,22394,R,66,R,27,R,39,R,13026,R,6299,R,6727,R,920,R,383,R,537,R,6099,R,2399,R,3700,R,64,R,29,R,35,R,11569,R,5593,R,5976,R,2316,R,1004,R,1312,R,1707,R,898,R,809,R,7418,R,4159,R,3259,,,,,,,,,,,,,
2019,110635, 2,99,3,1,R,31348,R,14431,R,16917,R,34,R,13,R,21,R,11138,R,5365,R,5773,R,601,R,229,R,372,R,5043,R,1918,R,3125,R,53,R,22,R,31,R,7512,R,3483,R,4029,R,1836,R,789,R,1047,R,1147,R,560,R,587,R,3984,R,2052,R,1932,,,,,,,,,,,,,
