year,UNITID,EFCIPLEV,CIPCODE,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
2020,217882,220,14.0000,99,3,20,R,3057,R,2281,R,776,R,5,R,4,R,1,R,116,R,79,R,37,R,138,R,96,R,42,R,178,R,143,R,35,R,3,R,3,R,0,R,2449,R,1824,R,625,R,120,R,95,R,25,R,16,R,11,R,5,R,32,R,26,R,6
2020,217882,221,14.0000,14,1,21,R,3948,R,2944,R,1004,R,5,R,4,R,1,R,137,R,93,R,44,R,159,R,107,R,52,R,187,R,145,R,42,R,3,R,3,R,0,R,2729,R,2017,R,712,R,131,R,100,R,31,R,20,R,14,R,6,R,577,R,461,R,116
2020,217882,222,14.0000, 8,1,22,R,2985,R,2220,R,765,R,5,R,4,R,1,R,109,R,73,R,36,R,131,R,90,R,41,R,168,R,133,R,35,R,3,R,3,R,0,R,2407,R,1790,R,617,R,118,R,93,R,25,R,15,R,10,R,5,R,29,R,24,R,5
2020,217882,223,14.0000, 6,1,23,R,2985,R,2220,R,765,R,5,R,4,R,1,R,109,R,73,R,36,R,131,R,90,R,41,R,168,R,133,R,35,R,3,R,3,R,0,R,2407,R,1790,R,617,R,118,R,93,R,25,R,15,R,10,R,5,R,29,R,24,R,5
2020,217882,224,14.0000, 1,1,24,R,10,R,7,R,3,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,10,R,7,R,3,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2020,217882,225,14.0000,99,1,25,R,2975,R,2213,R,762,R,5,R,4,R,1,R,109,R,73,R,36,R,131,R,90,R,41,R,168,R,133,R,35,R,3,R,3,R,0,R,2397,R,1783,R,614,R,118,R,93,R,25,R,15,R,10,R,5,R,29,R,24,R,5
2020,217882,232,14.0000,11,1,32,R,963,R,724,R,239,R,0,R,0,R,0,R,28,R,20,R,8,R,28,R,17,R,11,R,19,R,12,R,7,R,0,R,0,R,0,R,322,R,227,R,95,R,13,R,7,R,6,R,5,R,4,R,1,R,548,R,437,R,111
2020,217882,239,14.0000, 2,1,39,R,58,R,52,R,6,R,0,R,0,R,0,R,1,R,1,R,0,R,1,R,1,R,0,R,3,R,2,R,1,R,0,R,0,R,0,R,50,R,45,R,5,R,2,R,2,R,0,R,0,R,0,R,0,R,1,R,1,R,0
2020,217882,240,14.0000, 3,1,40,R,2917,R,2161,R,756,R,5,R,4,R,1,R,108,R,72,R,36,R,130,R,89,R,41,R,165,R,131,R,34,R,3,R,3,R,0,R,2347,R,1738,R,609,R,116,R,91,R,25,R,15,R,10,R,5,R,28,R,23,R,5
2020,217882,241,14.0000,28,2,41,R,336,R,266,R,70,R,1,R,1,R,0,R,15,R,13,R,2,R,12,R,10,R,2,R,24,R,19,R,5,R,1,R,1,R,0,R,207,R,162,R,45,R,6,R,5,R,1,R,11,R,10,R,1,R,59,R,45,R,14
2020,217882,242,14.0000,22,2,42,R,147,R,126,R,21,R,0,R,0,R,0,R,9,R,8,R,1,R,8,R,7,R,1,R,13,R,12,R,1,R,0,R,0,R,0,R,108,R,91,R,17,R,4,R,4,R,0,R,1,R,1,R,0,R,4,R,3,R,1
2020,217882,243,14.0000,20,2,43,R,147,R,126,R,21,R,0,R,0,R,0,R,9,R,8,R,1,R,8,R,7,R,1,R,13,R,12,R,1,R,0,R,0,R,0,R,108,R,91,R,17,R,4,R,4,R,0,R,1,R,1,R,0,R,4,R,3,R,1
2020,217882,245,14.0000,99,2,45,R,147,R,126,R,21,R,0,R,0,R,0,R,9,R,8,R,1,R,8,R,7,R,1,R,13,R,12,R,1,R,0,R,0,R,0,R,108,R,91,R,17,R,4,R,4,R,0,R,1,R,1,R,0,R,4,R,3,R,1
2020,217882,252,14.0000,25,2,52,R,189,R,140,R,49,R,1,R,1,R,0,R,6,R,5,R,1,R,4,R,3,R,1,R,11,R,7,R,4,R,1,R,1,R,0,R,99,R,71,R,28,R,2,R,1,R,1,R,10,R,9,R,1,R,55,R,42,R,13
