year,UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
2023,191241,R,2414,R,2803,R,86,R,2581,R,2,R,0,R,2579,R,2260,R,88,R,13,R,0,R,0,R,13,R,8,R,62,R,14
2023,193900,R,5802,R,7261,R,80,R,6140,R,48,R,0,R,6092,R,5818,R,96,R,7,R,1,R,0,R,6,R,3,R,50,R,8
2023,194824,R,1552,R,1654,R,94,R,2002,R,0,R,0,R,2002,R,1776,R,89,A,,A,,A,,A,,A,,A,,R,14
2023,195003,R,3053,R,3973,R,77,R,3089,R,3,R,0,R,3086,R,2723,R,88,R,1,R,0,R,0,R,1,R,0,R,0,R,13
2023,195030,R,1543,R,1781,R,87,R,1625,R,5,Z,0,R,1620,R,1499,R,93,A,,A,,A,,A,,A,,A,,R,9
2023,196079,R,3088,R,3902,R,79,R,3103,R,1,R,0,R,3102,R,2745,R,88,R,4,R,0,R,0,R,4,R,3,R,75,R,18
2023,196088,R,4252,R,5665,R,75,R,4187,R,0,R,0,R,4187,R,3536,R,84,R,28,R,0,R,0,R,28,R,13,R,46,R,11
2023,196097,R,3563,R,4963,R,72,R,3342,R,0,R,0,R,3342,R,2964,R,89,R,5,R,0,R,0,R,5,R,3,R,60,R,19
2023,196413,R,3663,R,4414,R,83,R,4094,R,9,R,0,R,4085,R,3726,R,91,R,14,R,0,R,0,R,14,R,9,R,64,R,15
2023,197708,R,625,R,825,R,76,R,572,R,0,R,0,R,572,R,531,R,93,R,0,Z,0,Z,0,R,0,R,0,A,,R,7
2023,198419,R,1741,R,1797,R,97,R,1745,R,0,R,0,R,1745,R,1678,R,96,A,,A,,A,,A,,A,,A,,R,6
2023,199120,R,4688,R,5775,R,81,R,4425,R,1,Z,0,R,4424,R,4298,R,97,R,10,R,0,Z,0,R,10,R,8,R,80,R,15
2023,199193,R,5636,R,7855,R,72,R,5525,R,5,Z,0,R,5520,R,5157,R,93,R,16,R,0,Z,0,R,16,R,11,R,69,R,15
2023,199847,R,1385,R,1425,R,97,R,1370,R,0,R,0,R,1370,R,1297,R,95,R,0,R,0,R,0,R,0,R,0,A,,R,9
