year,UNITID,SISCAT,FACSTAT,ARANK,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
2022,139658,411,41,1,R,50,R,27,R,23,Z,0,Z,0,Z,0,R,5,R,2,R,3,R,4,R,3,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,40,R,22,R,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,139658,412,41,2,R,16,R,7,R,9,Z,0,Z,0,Z,0,R,3,R,1,R,2,R,4,R,1,R,3,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,8,R,4,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,139658,413,41,3,R,12,R,7,R,5,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,9,R,7,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1
2022,139658,414,41,4,R,2,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,139658,415,41,5,R,131,R,56,R,75,R,1,Z,0,R,1,R,19,R,11,R,8,R,6,R,2,R,4,R,11,R,8,R,3,Z,0,Z,0,Z,0,R,87,R,34,R,53,R,3,R,1,R,2,Z,0,Z,0,Z,0,R,4,Z,0,R,4
2022,139658,420,42,0,R,347,R,177,R,170,R,2,R,1,R,1,R,68,R,40,R,28,R,35,R,8,R,27,R,11,R,5,R,6,R,0,R,0,R,0,R,223,R,119,R,104,R,4,R,1,R,3,R,0,R,0,R,0,R,4,R,3,R,1
2022,139658,421,42,1,R,63,R,33,R,30,Z,0,Z,0,Z,0,R,11,R,7,R,4,R,4,Z,0,R,4,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,46,R,26,R,20,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,139658,422,42,2,R,112,R,62,R,50,Z,0,Z,0,Z,0,R,29,R,14,R,15,R,8,R,2,R,6,R,3,R,2,R,1,Z,0,Z,0,Z,0,R,71,R,43,R,28,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0
2022,139658,423,42,3,R,112,R,62,R,50,R,2,R,1,R,1,R,21,R,16,R,5,R,10,R,4,R,6,R,3,R,1,R,2,Z,0,Z,0,Z,0,R,71,R,37,R,34,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,3,R,2,R,1
2022,139658,424,42,4,R,57,R,18,R,39,Z,0,Z,0,Z,0,R,7,R,3,R,4,R,12,R,1,R,11,R,4,R,2,R,2,Z,0,Z,0,Z,0,R,33,R,12,R,21,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,139658,425,42,5,R,3,R,2,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,139658,430,43,0,R,63,R,20,R,43,R,0,R,0,R,0,R,6,R,0,R,6,R,3,R,0,R,3,R,4,R,0,R,4,R,0,R,0,R,0,R,35,R,16,R,19,R,0,R,0,R,0,R,0,R,0,R,0,R,15,R,4,R,11
2022,139658,431,43,1,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,139658,432,43,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,139658,433,43,3,R,32,R,14,R,18,Z,0,Z,0,Z,0,R,2,Z,0,R,2,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,21,R,11,R,10,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,7,R,3,R,4
2022,139658,434,43,4,R,29,R,4,R,25,Z,0,Z,0,Z,0,R,4,Z,0,R,4,R,2,Z,0,R,2,R,3,Z,0,R,3,Z,0,Z,0,Z,0,R,12,R,3,R,9,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,8,R,1,R,7
2022,139658,440,44,0,R,211,R,99,R,112,R,1,R,0,R,1,R,28,R,14,R,14,R,16,R,7,R,9,R,13,R,9,R,4,R,0,R,0,R,0,R,145,R,68,R,77,R,3,R,1,R,2,R,0,R,0,R,0,R,5,R,0,R,5
2022,139658,441,44,1,R,50,R,27,R,23,Z,0,Z,0,Z,0,R,5,R,2,R,3,R,4,R,3,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,40,R,22,R,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,139658,442,44,2,R,16,R,7,R,9,Z,0,Z,0,Z,0,R,3,R,1,R,2,R,4,R,1,R,3,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,8,R,4,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,139658,443,44,3,R,12,R,7,R,5,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,9,R,7,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1
2022,139658,444,44,4,R,2,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2022,139658,445,44,5,R,131,R,56,R,75,R,1,Z,0,R,1,R,19,R,11,R,8,R,6,R,2,R,4,R,11,R,8,R,3,Z,0,Z,0,Z,0,R,87,R,34,R,53,R,3,R,1,R,2,Z,0,Z,0,Z,0,R,4,Z,0,R,4
2022,139658,500,50,0,R,5,R,1,R,4,Z,0,Z,0,Z,0,R,3,R,1,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1
