year,UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
20,166629,R,4585,R,11,R,4574,R,3235,R,71,R,3667,R,80,R,0,R,4574,R,37,R,8,R,3704,R,81,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,166683,R,1135,R,4,R,1131,R,963,R,85,R,1065,R,94,R,0,R,1131,R,19,R,3,R,1084,R,96,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,167358,R,2664,R,3,R,2661,Z,0,R,0,R,2345,R,88,R,3,R,2658,R,15,R,3,R,2360,R,89,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,168148,R,1309,R,2,R,1307,R,1133,R,87,R,1210,R,93,R,0,R,1307,R,8,R,0,R,1218,R,93,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,168421,R,948,R,0,R,948,R,776,R,82,R,829,R,87,R,0,R,948,R,7,R,2,R,836,R,88,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,170976,R,6124,R,5,R,6119,R,4837,R,79,R,5623,R,92,R,0,R,6119,R,54,R,10,R,5677,R,93,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,171100,R,8091,R,4,R,8087,R,4324,R,53,R,6474,R,80,R,0,R,8087,R,131,R,35,R,6605,R,82,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,174066,R,5496,R,0,R,5496,R,3598,R,65,R,4407,R,80,R,0,R,5496,R,78,R,41,R,4485,R,82,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,179867,R,1617,R,6,R,1611,R,1411,R,88,R,1528,R,95,R,0,R,1611,R,8,R,2,R,1536,R,95,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,182670,R,1095,R,1,R,1094,R,945,R,86,R,1041,R,95,R,0,R,1094,R,9,R,2,R,1050,R,96,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
