year,UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW ,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN    
2018,137351,R,12194,R,5226,R,6968,R,19,R,6,R,13,R,818,R,364,R,454,R,1146,R,396,R,750,R,2012,R,789,R,1223,R,29,R,10,R,19,R,6119,R,2568,R,3551,R,390,R,132,R,258,R,262,R,110,R,152,R,1399,R,851,R,548,,,,,,,,,,,,,,,,,,,,,
2018,139658,R,4403,R,1811,R,2592,R,6,R,2,R,4,R,637,R,275,R,362,R,453,R,133,R,320,R,294,R,126,R,168,R,6,R,3,R,3,R,1968,R,784,R,1184,R,105,R,40,R,65,R,194,R,79,R,115,R,740,R,369,R,371,,,,,,,,,,,,,,,,,,,,,
2018,139755,R,6976,R,4908,R,2068,R,2,R,2,R,0,R,1092,R,768,R,324,R,334,R,216,R,118,R,324,R,226,R,98,R,7,R,4,R,3,R,3101,R,2217,R,884,R,202,R,136,R,66,R,55,R,38,R,17,R,1859,R,1301,R,558,,,,,,,,,,,,,,,,,,,,,
2018,139959,R,9721,R,4028,R,5693,R,10,R,6,R,4,R,761,R,343,R,418,R,771,R,234,R,537,R,459,R,189,R,270,R,10,R,4,R,6,R,6772,R,2877,R,3895,R,322,R,121,R,201,R,130,R,65,R,65,R,486,R,189,R,297,,,,,,,,,,,,,,,,,,,,,
2018,144050,R,5075,R,2817,R,2258,R,6,R,5,R,1,R,691,R,337,R,354,R,194,R,74,R,120,R,375,R,196,R,179,R,1,R,0,R,1,R,2090,R,1167,R,923,R,141,R,67,R,74,R,188,R,124,R,64,R,1389,R,847,R,542,,,,,,,,,,,,,,,,,,,,,
2018,145600,R,7411,R,3385,R,4026,R,8,R,4,R,4,R,1355,R,643,R,712,R,502,R,163,R,339,R,1443,R,622,R,821,R,4,R,2,R,2,R,2765,R,1206,R,1559,R,186,R,80,R,106,R,69,R,35,R,34,R,1079,R,630,R,449,,,,,,,,,,,,,,,,,,,,,
2018,145637,R,12549,R,6599,R,5950,R,8,R,3,R,5,R,1722,R,988,R,734,R,545,R,196,R,349,R,933,R,484,R,449,R,2,R,1,R,1,R,5600,R,2900,R,2700,R,298,R,149,R,149,R,98,R,70,R,28,R,3343,R,1808,R,1535,,,,,,,,,,,,,,,,,,,,,
2018,147767,R,7465,R,3803,R,3662,R,6,R,1,R,5,R,926,R,478,R,448,R,350,R,162,R,188,R,558,R,271,R,287,R,3,R,0,R,3,R,3160,R,1648,R,1512,R,211,R,93,R,118,R,730,R,314,R,416,R,1521,R,836,R,685,,,,,,,,,,,,,,,,,,,,,
2018,151351,R,11087,R,5728,R,5359,R,17,R,5,R,12,R,558,R,308,R,250,R,425,R,198,R,227,R,474,R,232,R,242,R,2,R,0,R,2,R,7226,R,3747,R,3479,R,326,R,152,R,174,R,105,R,71,R,34,R,1954,R,1015,R,939,,,,,,,,,,,,,,,,,,,,,
2018,152080,R,3623,R,2005,R,1618,R,9,R,5,R,4,R,168,R,75,R,93,R,116,R,59,R,57,R,332,R,168,R,164,R,3,R,2,R,1,R,2406,R,1385,R,1021,R,142,R,74,R,68,R,41,R,24,R,17,R,406,R,213,R,193,,,,,,,,,,,,,,,,,,,,,
2018,160472,R,13,R,1,R,12,R,0,R,0,R,0,R,0,R,0,R,0,R,4,R,1,R,3,R,2,R,0,R,2,R,0,R,0,R,0,R,7,R,0,R,7,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,,,,,,,,,,,,,,,,,,,,,
2018,160755,R,3802,R,1593,R,2209,R,8,R,5,R,3,R,182,R,73,R,109,R,257,R,89,R,168,R,231,R,92,R,139,R,7,R,3,R,4,R,2205,R,914,R,1291,R,120,R,33,R,87,R,135,R,73,R,62,R,657,R,311,R,346,,,,,,,,,,,,,,,,,,,,,
2018,162928,R,8689,R,3874,R,4815,R,17,R,6,R,11,R,1090,R,462,R,628,R,566,R,184,R,382,R,626,R,276,R,350,R,6,R,3,R,3,R,3646,R,1695,R,1951,R,268,R,130,R,138,R,302,R,134,R,168,R,2168,R,984,R,1184,,,,,,,,,,,,,,,,,,,,,
2018,163286,R,10795,R,5549,R,5246,R,11,R,5,R,6,R,1357,R,735,R,622,R,1089,R,464,R,625,R,866,R,388,R,478,R,6,R,3,R,3,R,5055,R,2716,R,2339,R,358,R,156,R,202,R,361,R,186,R,175,R,1692,R,896,R,796,,,,,,,,,,,,,,,,,,,,,
2018,164924,R,4169,R,1794,R,2375,R,2,R,2,R,0,R,311,R,133,R,178,R,139,R,45,R,94,R,330,R,129,R,201,R,2,R,1,R,1,R,2531,R,1100,R,1431,R,103,R,42,R,61,R,262,R,119,R,143,R,489,R,223,R,266,,,,,,,,,,,,,,,,,,,,,
2018,164988,R,10607,R,4288,R,6319,R,12,R,4,R,8,R,1137,R,490,R,647,R,436,R,164,R,272,R,848,R,324,R,524,R,9,R,3,R,6,R,4493,R,1701,R,2792,R,274,R,98,R,176,R,625,R,264,R,361,R,2773,R,1240,R,1533,,,,,,,,,,,,,,,,,,,,,
2018,165015,R,1785,R,769,R,1016,R,4,R,1,R,3,R,176,R,71,R,105,R,81,R,31,R,50,R,81,R,35,R,46,R,1,R,1,R,0,R,780,R,337,R,443,R,33,R,17,R,16,R,79,R,39,R,40,R,550,R,237,R,313,,,,,,,,,,,,,,,,,,,,,
2018,166027,R,8055,R,4063,R,3992,R,8,R,5,R,3,R,1183,R,543,R,640,R,434,R,190,R,244,R,599,R,315,R,284,R,7,R,3,R,4,R,3344,R,1772,R,1572,R,281,R,134,R,147,R,195,R,112,R,83,R,2004,R,989,R,1015,,,,,,,,,,,,,,,,,,,,,
2018,166629,R,7993,R,3938,R,4055,R,7,R,4,R,3,R,674,R,325,R,349,R,298,R,124,R,174,R,396,R,180,R,216,R,2,R,2,R,0,R,5303,R,2624,R,2679,R,193,R,81,R,112,R,472,R,236,R,236,R,648,R,362,R,286,,,,,,,,,,,,,,,,,,,,,
2018,166683,R,3362,R,2042,R,1320,R,7,R,3,R,4,R,519,R,245,R,274,R,106,R,70,R,36,R,267,R,173,R,94,Z,0,Z,0,Z,0,R,1129,R,671,R,458,R,115,R,64,R,51,R,109,R,67,R,42,R,1110,R,749,R,361,,,,,,,,,,,,,,,,,,,,,
2018,167358,R,6976,R,3437,R,3539,R,4,R,2,R,2,R,641,R,266,R,375,R,168,R,69,R,99,R,369,R,153,R,216,R,1,R,0,R,1,R,2725,R,1263,R,1462,R,177,R,69,R,108,R,372,R,162,R,210,R,2519,R,1453,R,1066,,,,,,,,,,,,,,,,,,,,,
