year,UNITID,GRTYPE,CHRTSTAT,SECTION,COHORT,LINE,XGRTOTLT,GRTOTLT,XGRTOTLM,GRTOTLM,XGRTOTLW,GRTOTLW,XGRAIANT,GRAIANT,XGRAIANM,GRAIANM,XGRAIANW,GRAIANW,XGRASIAT,GRASIAT,XGRASIAM,GRASIAM,XGRASIAW,GRASIAW,XGRBKAAT,GRBKAAT,XGRBKAAM,GRBKAAM,XGRBKAAW,GRBKAAW,XGRHISPT,GRHISPT,XGRHISPM,GRHISPM,XGRHISPW,GRHISPW,XGRNHPIT,GRNHPIT,XGRNHPIM,GRNHPIM,XGRNHPIW,GRNHPIW,XGRWHITT,GRWHITT,XGRWHITM,GRWHITM,XGRWHITW,GRWHITW,XGR2MORT,GR2MORT,XGR2MORM,GR2MORM,XGR2MORW,GR2MORW,XGRUNKNT,GRUNKNT,XGRUNKNM,GRUNKNM,XGRUNKNW,GRUNKNW,XGRNRALT,GRNRALT,XGRNRALM,GRNRALM,XGRNRALW,GRNRALW 
2022,110635,14,18,2,2,20 ,R,662,R,335,R,327,R,1,R,1,R,0,R,216,R,120,R,96,R,13,R,4,R,9,R,149,R,57,R,92,R,2,R,1,R,1,R,157,R,80,R,77,R,34,R,16,R,18,R,20,R,16,R,4,R,70,R,40,R,30
2022,110635,15,19,2,2,21 ,R,101,R,54,R,47,R,1,R,1,R,0,R,19,R,12,R,7,R,2,R,1,R,1,R,29,R,12,R,17,R,1,R,0,R,1,R,19,R,12,R,7,R,7,R,5,R,2,R,2,R,1,R,1,R,21,R,10,R,11
2022,110635,41,31,1,1,999,R,41,R,29,R,12,R,0,R,0,R,0,R,10,R,7,R,3,R,3,R,2,R,1,R,15,R,9,R,6,R,0,R,0,R,0,R,6,R,6,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,7,R,5,R,2
2022,110635,42,32,1,1,999,R,329,R,195,R,134,R,0,R,0,R,0,R,79,R,41,R,38,R,15,R,10,R,5,R,90,R,48,R,42,R,1,R,0,R,1,R,68,R,44,R,24,R,25,R,15,R,10,R,12,R,11,R,1,R,39,R,26,R,13
2022,110635,43,31,2,2,22 ,R,41,R,29,R,12,R,0,R,0,R,0,R,10,R,7,R,3,R,3,R,2,R,1,R,15,R,9,R,6,R,0,R,0,R,0,R,6,R,6,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,7,R,5,R,2
2022,110635,44,32,2,2,23 ,R,329,R,195,R,134,R,0,R,0,R,0,R,79,R,41,R,38,R,15,R,10,R,5,R,90,R,48,R,42,R,1,R,0,R,1,R,68,R,44,R,24,R,25,R,15,R,10,R,12,R,11,R,1,R,39,R,26,R,13
2022,110644, 2,12,1,1,999,R,5697,R,2077,R,3620,R,4,R,1,R,3,R,1583,R,588,R,995,R,108,R,39,R,69,R,1290,R,385,R,905,R,25,R,8,R,17,R,1380,R,484,R,896,R,277,R,84,R,193,R,82,R,27,R,55,R,948,R,461,R,487
2022,110644, 3,13,1,1,999,R,4919,R,1743,R,3176,R,4,R,1,R,3,R,1438,R,520,R,918,R,84,R,29,R,55,R,1038,R,297,R,741,R,19,R,7,R,12,R,1208,R,416,R,792,R,248,R,69,R,179,R,73,R,21,R,52,R,807,R,383,R,424
2022,110644, 6,10,2,2,10 ,R,5699,R,2079,R,3620,R,4,R,1,R,3,R,1583,R,588,R,995,R,108,R,39,R,69,R,1291,R,386,R,905,R,25,R,8,R,17,R,1381,R,485,R,896,R,277,R,84,R,193,R,82,R,27,R,55,R,948,R,461,R,487
2022,110644, 7,11,2,2,45 ,R,2,R,2,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2022,110644, 8,12,2,2,50 ,R,5697,R,2077,R,3620,R,4,R,1,R,3,R,1583,R,588,R,995,R,108,R,39,R,69,R,1290,R,385,R,905,R,25,R,8,R,17,R,1380,R,484,R,896,R,277,R,84,R,193,R,82,R,27,R,55,R,948,R,461,R,487
2022,110644, 9,13,2,2,29A,R,4919,R,1743,R,3176,R,4,R,1,R,3,R,1438,R,520,R,918,R,84,R,29,R,55,R,1038,R,297,R,741,R,19,R,7,R,12,R,1208,R,416,R,792,R,248,R,69,R,179,R,73,R,21,R,52,R,807,R,383,R,424
2022,110644,12,16,2,2,18A,R,4919,R,1743,R,3176,R,4,R,1,R,3,R,1438,R,520,R,918,R,84,R,29,R,55,R,1038,R,297,R,741,R,19,R,7,R,12,R,1208,R,416,R,792,R,248,R,69,R,179,R,73,R,21,R,52,R,807,R,383,R,424
2022,110644,13,17,2,2,19 ,R,3766,R,1233,R,2533,R,1,R,1,R,0,R,1146,R,388,R,758,R,52,R,13,R,39,R,667,R,167,R,500,R,12,R,2,R,10,R,979,R,303,R,676,R,201,R,54,R,147,R,62,R,15,R,47,R,646,R,290,R,356
2022,110644,14,18,2,2,20 ,R,1016,R,439,R,577,R,3,R,0,R,3,R,259,R,112,R,147,R,24,R,11,R,13,R,333,R,118,R,215,R,4,R,3,R,1,R,202,R,97,R,105,R,42,R,15,R,27,R,11,R,6,R,5,R,138,R,77,R,61
2022,110644,15,19,2,2,21 ,R,137,R,71,R,66,R,0,R,0,R,0,R,33,R,20,R,13,R,8,R,5,R,3,R,38,R,12,R,26,R,3,R,2,R,1,R,27,R,16,R,11,R,5,R,0,R,5,R,0,R,0,R,0,R,23,R,16,R,7
2022,110644,40,11,1,1,999,R,2,R,2,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2022,110644,41,31,1,1,999,R,50,R,29,R,21,R,0,R,0,R,0,R,16,R,9,R,7,R,1,R,1,R,0,R,6,R,4,R,2,R,0,R,0,R,0,R,12,R,4,R,8,R,1,R,1,R,0,R,1,R,1,R,0,R,13,R,9,R,4
2022,110644,42,32,1,1,999,R,728,R,305,R,423,R,0,R,0,R,0,R,129,R,59,R,70,R,23,R,9,R,14,R,246,R,84,R,162,R,6,R,1,R,5,R,160,R,64,R,96,R,28,R,14,R,14,R,8,R,5,R,3,R,128,R,69,R,59
2022,110644,43,31,2,2,22 ,R,50,R,29,R,21,R,0,R,0,R,0,R,16,R,9,R,7,R,1,R,1,R,0,R,6,R,4,R,2,R,0,R,0,R,0,R,12,R,4,R,8,R,1,R,1,R,0,R,1,R,1,R,0,R,13,R,9,R,4
2022,110644,44,32,2,2,23 ,R,728,R,305,R,423,R,0,R,0,R,0,R,129,R,59,R,70,R,23,R,9,R,14,R,246,R,84,R,162,R,6,R,1,R,5,R,160,R,64,R,96,R,28,R,14,R,14,R,8,R,5,R,3,R,128,R,69,R,59
2022,110653, 2,12,1,1,999,R,6540,R,3061,R,3479,R,1,R,1,R,0,R,2204,R,1036,R,1168,R,119,R,43,R,76,R,1714,R,700,R,1014,R,17,R,10,R,7,R,729,R,381,R,348,R,268,R,131,R,137,R,70,R,35,R,35,R,1418,R,724,R,694
2022,110653, 3,13,1,1,999,R,5664,R,2584,R,3080,R,1,R,1,R,0,R,2029,R,948,R,1081,R,92,R,28,R,64,R,1384,R,542,R,842,R,14,R,8,R,6,R,633,R,327,R,306,R,227,R,107,R,120,R,67,R,33,R,34,R,1217,R,590,R,627
2022,110653, 4,20,1,1,999,R,449,R,221,R,228,Z,0,Z,0,Z,0,R,106,R,54,R,52,R,18,R,8,R,10,R,179,R,78,R,101,R,3,R,2,R,1,R,66,R,36,R,30,R,24,R,14,R,10,R,1,R,1,Z,0,R,52,R,28,R,24
2022,110653, 6,10,2,2,10 ,R,6541,R,3062,R,3479,R,1,R,1,R,0,R,2204,R,1036,R,1168,R,119,R,43,R,76,R,1714,R,700,R,1014,R,17,R,10,R,7,R,729,R,381,R,348,R,268,R,131,R,137,R,70,R,35,R,35,R,1419,R,725,R,694
2022,110653, 7,11,2,2,45 ,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0
2022,110653, 8,12,2,2,50 ,R,6540,R,3061,R,3479,R,1,R,1,R,0,R,2204,R,1036,R,1168,R,119,R,43,R,76,R,1714,R,700,R,1014,R,17,R,10,R,7,R,729,R,381,R,348,R,268,R,131,R,137,R,70,R,35,R,35,R,1418,R,724,R,694
2022,110653, 9,13,2,2,29A,R,5664,R,2584,R,3080,R,1,R,1,R,0,R,2029,R,948,R,1081,R,92,R,28,R,64,R,1384,R,542,R,842,R,14,R,8,R,6,R,633,R,327,R,306,R,227,R,107,R,120,R,67,R,33,R,34,R,1217,R,590,R,627
2022,110653,12,16,2,2,18A,R,5664,R,2584,R,3080,R,1,R,1,R,0,R,2029,R,948,R,1081,R,92,R,28,R,64,R,1384,R,542,R,842,R,14,R,8,R,6,R,633,R,327,R,306,R,227,R,107,R,120,R,67,R,33,R,34,R,1217,R,590,R,627
2022,110653,13,17,2,2,19 ,R,4741,R,2041,R,2700,R,0,R,0,R,0,R,1737,R,769,R,968,R,69,R,18,R,51,R,1062,R,370,R,692,R,13,R,7,R,6,R,554,R,271,R,283,R,193,R,89,R,104,R,57,R,25,R,32,R,1056,R,492,R,564
2022,110653,14,18,2,2,20 ,R,850,R,493,R,357,R,1,R,1,R,0,R,268,R,165,R,103,R,20,R,10,R,10,R,301,R,158,R,143,R,0,R,0,R,0,R,77,R,54,R,23,R,32,R,16,R,16,R,9,R,7,R,2,R,142,R,82,R,60
2022,110653,15,19,2,2,21 ,R,73,R,50,R,23,R,0,R,0,R,0,R,24,R,14,R,10,R,3,R,0,R,3,R,21,R,14,R,7,R,1,R,1,R,0,R,2,R,2,R,0,R,2,R,2,R,0,R,1,R,1,R,0,R,19,R,16,R,3
2022,110653,16,20,2,2,30 ,R,449,R,221,R,228,Z,0,Z,0,Z,0,R,106,R,54,R,52,R,18,R,8,R,10,R,179,R,78,R,101,R,3,R,2,R,1,R,66,R,36,R,30,R,24,R,14,R,10,R,1,R,1,Z,0,R,52,R,28,R,24
2022,110653,40,11,1,1,999,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0
